"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.0011,0.0016,5515,4041,173,90,342,83,9,1226,5515,19,4041
2,3639950.61442869,2494723.9579876,322570,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0034,11965,8407,444,236,785,208,29,1499,6450,66,8407
3,3510457.74045684,2407177.62008915,106795,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14099,9730,172,76,351,96,15,471,2134,13,9730
4,3508706.755652,2404122.40239989,150681,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17112,11512,289,149,603,140,16,731,3013,28,11512
5,3455947.30346298,2376499.42008206,208246,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.0041,0.0059,21275,13998,499,277,961,222,32,968,4163,49,13998
6,3418085.78133043,2335489.91855979,259149,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.0049,0.0072,26457,16894,800,433,1405,367,37,1220,5182,102,16894
7,3261366.06235499,2252810.46370323,390048,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0064,0.0093,34256,21035,1539,971,2131,568,77,1784,7799,193,21035
8,3048177.38666033,2119716.45580989,152885,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0073,0.0105,37312,22362,627,340,1296,287,41,749,3056,63,22362
9,2926482.82160416,2066415.67191501,79432,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0078,0.0111,38899,22878,369,190,748,179,24,388,1587,22,22878
10,2840751.42213747,2037677.07042124,39027,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.0081,0.0113,39677,22943,184,91,310,93,12,199,778,8,22943
11,2776414.19356899,2021731.1912337,40798,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0083,0.0114,40491,23069,173,93,425,80,11,198,814,4,23069
12,2713083.46859203,2002422.66015266,128370,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0088,0.012,43056,23958,687,372,1216,315,35,654,2565,52,23958
