"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8691694,0.0334698,0.7886391,0.9220498,"     ",""
"S g12 c1 a16 t5",0.9448045,0.0181796,0.8963046,0.9713455,"     ",""
"S g12 c1 a20 t9",0.5700078,0.0730872,0.4249273,0.7039845,"     ",""
"S g14 c1 a25 t12",0.7236374,0.0334868,0.6534827,0.7842774,"     ",""
"S g18 c1 a25 t8",0.9712736,0.0099073,0.9440028,0.9854678,"     ",""
"S g22 c1 a25 t4",0.929191,0.0167735,0.8884151,0.9558076,"     ",""
"S g62 c1 a73 t12",0.6122709,0.1834179,0.2577913,0.8777417,"     ",""
"S g66 c1 a73 t8",0.9532508,0.0352053,0.8125524,0.9896819,"     ",""
"S g70 c1 a73 t4",0.8878156,0.0771561,0.6341989,0.9730635,"     ",""
"r g18 c1 a25 t8",0.341198,0.1179457,0.1562505,0.5915737,"     ",""
"r g66 c1 a73 t8",0.2725302,0.2004844,0.0490866,0.7310963,"     ",""
"R g12 c1 a12 t1",0.0261374,0.0042011,0.0190511,0.0357634,"     ",""
"R g12 c1 a16 t5",0.0366154,0.0053849,0.0274065,0.0487636,"     ",""
"R g12 c1 a20 t9",0.0237684,0.0048724,0.0158764,0.0354421,"     ",""
"R g14 c1 a25 t12",0.023841,0.003532,0.0178159,0.0318376,"     ",""
"R g18 c1 a25 t8",0.0367258,0.0024881,0.0321486,0.0419264,"     ",""
"R g22 c1 a25 t4",0.0262171,0.0027234,0.0213764,0.0321179,"     ",""
"R g62 c1 a73 t12",0.0112874,0.004739,0.004942,0.0255704,"     ",""
"R g66 c1 a73 t8",0.0175093,0.0067672,0.0081757,0.0370999,"     ",""
"R g70 c1 a73 t4",0.0124282,0.0049478,0.0056784,0.0269839,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
