"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8534903,0.0312999,0.7810226,0.904896,"     ",""
"S g12 c1 a16 t5",0.9250895,0.0248507,0.8594512,0.9614488,"     ",""
"S g12 c1 a20 t9",0.7724672,0.04876,0.6634149,0.8539645,"     ",""
"S g14 c1 a25 t12",0.8128694,0.0296671,0.7477217,0.8642479,"     ",""
"S g18 c1 a25 t8",0.9404793,0.0181166,0.8933795,0.9675289,"     ",""
"S g22 c1 a25 t4",0.8817086,0.0174729,0.8429516,0.9119007,"     ",""
"S g62 c1 a73 t12",0.6318067,0.1007308,0.4234241,0.800382,"     ",""
"S g66 c1 a73 t8",0.8619139,0.0585471,0.7041463,0.9424286,"     ",""
"S g70 c1 a73 t4",0.7464794,0.0825401,0.5560319,0.8737768,"     ",""
"r g18 c1 a25 t8",0.0116996,0.00358,0.0064111,0.0212571,"     ",""
"r g66 c1 a73 t8",0.0031326,0.0024159,0.0006893469,0.0141131,"     ",""
"R g12 c1 a12 t1",0.0015437,0.0002604442,0.0011089,0.0021485,"     ",""
"R g12 c1 a16 t5",0.0019329,0.0003017288,0.0014233,0.0026245,"     ",""
"R g12 c1 a20 t9",0.0009399366,0.0001801445,0.0006455533,0.0013684,"     ",""
"R g14 c1 a25 t12",0.0013084,0.0001717554,0.0010115,0.0016922,"     ",""
"R g18 c1 a25 t8",0.0026896,0.0002043081,0.0023175,0.0031213,"     ",""
"R g22 c1 a25 t4",0.0021483,0.0002269369,0.0017465,0.0026424,"     ",""
"R g62 c1 a73 t12",0.0008163776,0.0003244217,0.0003745761,0.0017783,"     ",""
"R g66 c1 a73 t8",0.001679,0.0006460829,0.0007895066,0.0035672,"     ",""
"R g70 c1 a73 t4",0.0013409,0.000525544,0.0006217528,0.0028893,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
