"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1954,0,0,0,0,0.0016,0.0023,8270,5959,258,136,519,122,25,1933,8270,31,5959
2,3643127.36772912,2495479.84774656,322668,0.129253367294227,0.0645180510234625,61247,1837,NA,0,NA,0,0.0035,0.0051,17945,12612,627,339,1213,288,54,2178,9675,64,12612
3,3475147.91503776,2398873.1503351,106428,0.0443194499071432,0.0221224761126094,44701,1341,NA,0,NA,0,0.0042,0.0061,21135,14575,269,152,480,117,19,724,3190,20,14575
4,3475328.96854628,2395182.13923048,150121,0.0626314263710158,0.0312630738128393,86829,2605,NA,0,NA,0,0.005,0.0072,25636,17310,446,236,882,210,36,1034,4501,42,17310
5,3441917.03233704,2371167.73897552,207777,0.0875700411128721,0.0437114212102957,119947,3598,NA,0,NA,0,0.0061,0.0089,31865,21084,692,379,1473,313,51,1422,6229,85,21084
6,3358291.94709808,2318914.87800946,257310,0.110908941206503,0.0553612557840029,138537,4156,NA,0,NA,0,0.0076,0.011,39581,25464,1155,595,2151,560,111,1773,7716,140,25464
7,3203653.19888545,2234998.2445934,386965,0.173083137986633,0.0863960990857792,226157,6785,NA,0,NA,0,0.0098,0.0141,51187,31444,2413,1566,2989,847,161,2727,11606,312,31444
8,3015014.71256914,2106212.87185943,151911,0.0720709170542172,0.035974885615374,99605,2988,NA,0,NA,0,0.0111,0.0159,55741,33434,1018,532,1862,486,86,1064,4554,90,33434
9,2895390.85790792,2052590.35628273,78900,0.0383839669878841,0.019159723204502,66288,1989,NA,0,NA,0,0.0118,0.0167,58106,34178,532,282,1035,250,46,582,2365,29,34178
10,2810194.72172754,2023213.54155709,38751,0.019084869960835,0.00952639486061806,38846,1165,NA,0,NA,0,0.0122,0.0169,59265,34253,294,157,530,137,24,270,1159,12,34253
11,2746697.38711128,2006710.02765345,40498,0.0201171945934056,0.0100416895466385,43409,1302,NA,0,NA,0,0.0125,0.0171,60476,34380,301,164,578,137,22,287,1211,11,34380
12,2684125.85067097,1986872.92475513,127376,0.0640543179895995,0.0319733237349142,63366,1901,NA,0,NA,0,0.0133,0.018,64295,35799,1018,574,1810,444,71,885,3819,82,35799
