"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1954,0,0,0,0,0.0016,0.0023,8270,6036,239,129,524,110,23,1878,8270,24,6036
2,3650073.74637644,2497132.69768007,322881,0.129253367294227,0.0645180510234625,61247,1837,NA,0,NA,0,0.0034,0.005,17951,12540,673,339,1113,334,49,2297,9681,101,12540
3,3466906.66529304,2397124.90523665,106350,0.0443194499071432,0.0221224761126094,44701,1341,NA,0,NA,0,0.0042,0.006,21139,14429,280,161,527,119,33,760,3188,21,14429
4,3513448.76991877,2404203.3136963,150686,0.0626314263710158,0.0312630738128393,86829,2605,NA,0,NA,0,0.0049,0.0071,25657,17157,453,263,835,190,44,1048,4518,32,17157
5,3557456.03013099,2399788.85083085,210285,0.0875700411128721,0.0437114212102957,119947,3598,NA,0,NA,0,0.0059,0.0087,31961,20857,757,416,1432,341,61,1490,6304,86,20857
6,3528446.2515028,2364043.17438679,262315,0.110908941206503,0.0553612557840029,138537,4156,NA,0,NA,0,0.0072,0.0107,39827,25307,1119,599,2100,520,94,1881,7866,142,25307
7,3502204.24634037,2315702.35440853,400934,0.173083137986633,0.0863960990857792,226157,6785,NA,0,NA,0,0.009,0.0137,51852,31680,2295,1456,3152,839,188,2829,12025,287,31680
8,3265974.6847276,2184176.32012942,157529,0.0720709170542172,0.035974885615374,99605,2988,NA,0,NA,0,0.0103,0.0155,56575,33747,1028,557,1993,471,76,1120,4723,90,33747
9,3134937.43201389,2134904.65268466,82059,0.0383839669878841,0.019159723204502,66288,1989,NA,0,NA,0,0.011,0.0162,59034,34604,533,294,1129,239,39,555,2459,36,34604
10,3042373.81476495,2110412.20468643,40416,0.019084869960835,0.00952639486061806,38846,1165,NA,0,NA,0,0.0114,0.0165,60242,34769,269,144,582,125,27,269,1208,13,34769
11,2972475.53869367,2098735.89208916,42349,0.0201171945934056,0.0100416895466385,43409,1302,NA,0,NA,0,0.0118,0.0166,61509,34932,291,155,568,136,20,316,1267,17,34932
12,2903770.37234842,2083419.95318146,133558,0.0640543179895995,0.0319733237349142,63366,1901,NA,0,NA,0,0.0126,0.0175,65513,36487,995,515,1823,480,82,950,4004,59,36487
