"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8942211,0.0192436,0.8501596,0.926447,"     ",""
"S g12 c1 a16 t5",0.9269582,0.0134278,0.8958707,0.94929,"     ",""
"S g12 c1 a20 t9",0.6642955,0.0439604,0.5734961,0.7443805,"     ",""
"S g14 c1 a25 t12",0.7753986,0.0240616,0.7247713,0.8190385,"     ",""
"S g18 c1 a25 t8",0.9567867,0.0082534,0.9373904,0.970364,"     ",""
"S g22 c1 a25 t4",0.9365028,0.0103753,0.9128693,0.9540485,"     ",""
"S g62 c1 a73 t12",0.8696023,0.0722429,0.6567264,0.9587569,"     ",""
"S g66 c1 a73 t8",0.9771531,0.0149249,0.9202324,0.9937328,"     ",""
"S g70 c1 a73 t4",0.9660902,0.0218667,0.8850641,0.990602,"     ",""
"r g18 c1 a25 t8",0.5139109,0.0983064,0.328349,0.6957155,"     ",""
"r g66 c1 a73 t8",0.4555684,0.3391348,0.0542602,0.9242667,"     ",""
"R g12 c1 a12 t1",0.0343149,0.0042036,0.0269647,0.0435789,"     ",""
"R g12 c1 a16 t5",0.0554917,0.0059754,0.0448783,0.0684352,"     ",""
"R g12 c1 a20 t9",0.0273843,0.0041028,0.0203934,0.0366819,"     ",""
"R g14 c1 a25 t12",0.0340324,0.0037333,0.0274274,0.042159,"     ",""
"R g18 c1 a25 t8",0.068483,0.0033247,0.0622468,0.0752938,"     ",""
"R g22 c1 a25 t4",0.0425719,0.0034097,0.036368,0.0497793,"     ",""
"R g62 c1 a73 t12",0.0170303,0.0040716,0.0106415,0.0271496,"     ",""
"R g66 c1 a73 t8",0.0348916,0.0076716,0.0226094,0.0534808,"     ",""
"R g70 c1 a73 t4",0.0213981,0.0050034,0.0135045,0.033748,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
