"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1628,0,0,0,0,0.0013,0.0019,6891,5006,223,120,417,103,18,1575,6891,29,5006
2,3637577.91143089,2494159.3872679,322497,0.129253367294227,0.0645180510234625,61247,1531,NA,0,NA,0,0.0029,0.0042,14950,10482,544,304,991,240,44,1865,8059,78,10482
3,3457567.2460034,2394519.96262654,106234,0.0443194499071432,0.0221224761126094,44701,1118,NA,0,NA,0,0.0035,0.0051,17605,12116,216,108,447,108,19,603,2655,14,12116
4,3532579.48077821,2408096.24818165,150930,0.0626314263710158,0.0312630738128393,86829,2171,NA,0,NA,0,0.0041,0.006,21377,14432,363,192,670,171,27,879,3772,24,14432
5,3831676.84432658,2464992.61814096,215995,0.0875700411128721,0.0437114212102957,119947,2999,NA,0,NA,0,0.0046,0.0072,26775,17652,626,347,1165,279,46,1281,5398,65,17652
6,3788689.06818629,2434362.96678734,270114,0.110908941206503,0.0553612557840029,138537,3463,NA,0,NA,0,0.0057,0.0089,33524,21601,933,503,1913,430,75,1504,6749,108,21601
7,3642453.26109419,2365104.22860654,409483,0.173083137986633,0.0863960990857792,226157,5654,NA,0,NA,0,0.0074,0.0115,43759,27086,1923,1237,2613,686,109,2395,10235,235,27086
8,3394215.22840563,2234153.26600895,161132,0.0720709170542172,0.035974885615374,99605,2490,NA,0,NA,0,0.0085,0.0129,47785,28865,872,450,1695,422,64,914,4026,73,28865
9,3263150.82455236,2188114.84202396,84103,0.0383839669878841,0.019159723204502,66288,1657,NA,0,NA,0,0.0091,0.0135,49885,29592,464,272,968,192,38,517,2100,29,29592
10,3167109.40135841,2166075.58088338,41478,0.019084869960835,0.00952639486061806,38846,971,NA,0,NA,0,0.0094,0.0137,50919,29676,240,123,471,117,23,252,1034,16,29676
11,3093927.15337898,2156814.81682258,43516,0.0201171945934056,0.0100416895466385,43409,1085,NA,0,NA,0,0.0096,0.0138,52004,29826,232,118,479,114,18,259,1085,9,29826
12,3022059.6256096,2143746.73311306,137423,0.0640543179895995,0.0319733237349142,63366,1584,NA,0,NA,0,0.0103,0.0145,55437,31169,770,402,1572,368,63,854,3433,67,31169
