"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.904631,0.0216781,0.852869,0.9394749,"     ",""
"S g12 c1 a16 t5",0.9239331,0.0180838,0.8800287,0.9526352,"     ",""
"S g12 c1 a20 t9",0.7233093,0.0533469,0.6078977,0.815084,"     ",""
"S g14 c1 a25 t12",0.8271567,0.026248,0.769549,0.8727451,"     ",""
"S g18 c1 a25 t8",0.9569628,0.0107655,0.9301741,0.9737639,"     ",""
"S g22 c1 a25 t4",0.945548,0.0113183,0.9186078,0.9639214,"     ",""
"S g62 c1 a73 t12",0.7784866,0.0945279,0.5454918,0.9114335,"     ",""
"S g66 c1 a73 t8",0.9422941,0.0330362,0.8323196,0.9817247,"     ",""
"S g70 c1 a73 t4",0.9272844,0.040521,0.7970307,0.9764218,"     ",""
"r g18 c1 a25 t8",0.4894435,0.1199641,0.2722632,0.7106834,"     ",""
"r g66 c1 a73 t8",0.0966687,0.0817331,0.016802,0.4012437,"     ",""
"R g12 c1 a12 t1",0.0323135,0.0044813,0.0245948,0.0423494,"     ",""
"R g12 c1 a16 t5",0.0541708,0.0066524,0.0425171,0.0687892,"     ",""
"R g12 c1 a20 t9",0.0234993,0.0040129,0.0167946,0.0327914,"     ",""
"R g14 c1 a25 t12",0.0290164,0.0035599,0.0227962,0.0368698,"     ",""
"R g18 c1 a25 t8",0.0663991,0.0037016,0.059502,0.0740329,"     ",""
"R g22 c1 a25 t4",0.0398155,0.0036022,0.0333253,0.0475076,"     ",""
"R g62 c1 a73 t12",0.0124326,0.0040575,0.006544,0.0234947,"     ",""
"R g66 c1 a73 t8",0.0290899,0.0089526,0.0158421,0.0528214,"     ",""
"R g70 c1 a73 t4",0.0171687,0.0054842,0.009154,0.0319744,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
