"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1954,0,0,0,0,0.0016,0.0023,8270,6002,225,127,474,98,20,1950,8270,36,6002
2,3635730.57465502,2493719.82434999,322440,0.129253367294227,0.0645180510234625,61247,1837,NA,0,NA,0,0.0034,0.005,17938,12537,633,318,1183,315,52,2253,9668,110,12537
3,3452044.11117855,2393149.19358292,106174,0.0443194499071432,0.0221224761126094,44701,1341,NA,0,NA,0,0.0042,0.0061,21120,14524,269,138,479,131,21,677,3182,21,14524
4,3443075.63347123,2386573.78420754,149582,0.0626314263710158,0.0312630738128393,86829,2605,NA,0,NA,0,0.005,0.0072,25605,17228,417,240,853,177,35,1077,4485,32,17228
5,3488784.79462238,2380423.00980368,208588,0.0875700411128721,0.0437114212102957,119947,3598,NA,0,NA,0,0.006,0.0088,31858,20879,805,434,1339,371,83,1467,6253,68,20879
6,3391370.96552209,2326405.97047996,258141,0.110908941206503,0.0553612557840029,138537,4156,NA,0,NA,0,0.0075,0.0109,39599,25303,1170,598,2103,572,90,1780,7741,139,25303
7,3328523.60926637,2265365.62384113,392220,0.173083137986633,0.0863960990857792,226157,6785,NA,0,NA,0,0.0095,0.0139,51363,31470,2311,1492,3108,819,181,2785,11764,307,31470
8,3103456.07847167,2131694.4416457,153749,0.0720709170542172,0.035974885615374,99605,2988,NA,0,NA,0,0.0108,0.0157,55972,33426,993,523,1884,470,112,1150,4609,80,33426
9,2980182.78375208,2079770.85238476,79944,0.0383839669878841,0.019159723204502,66288,1989,NA,0,NA,0,0.0115,0.0164,58368,34160,555,300,1081,255,46,588,2396,38,34160
10,2892405.60929717,2052189.54333783,39305,0.019084869960835,0.00952639486061806,38846,1165,NA,0,NA,0,0.0119,0.0167,59543,34294,270,159,554,111,25,260,1175,14,34294
11,2826579.03533353,2037431.48777615,41115,0.0201171945934056,0.0100416895466385,43409,1302,NA,0,NA,0,0.0122,0.0169,60773,34508,261,146,609,115,26,296,1230,14,34508
12,2761814.30408157,2019241.37610784,129448,0.0640543179895995,0.0319733237349142,63366,1901,NA,0,NA,0,0.013,0.0178,64654,35991,972,520,1889,452,88,891,3881,85,35991
