"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8614321,0.0277188,0.7977182,0.907407,"     ",""
"S g12 c1 a16 t5",0.88821,0.0252356,0.8284167,0.9289536,"     ",""
"S g12 c1 a20 t9",0.7747868,0.0452489,0.6742077,0.8511695,"     ",""
"S g14 c1 a25 t12",0.8136237,0.0283721,0.7515716,0.8630018,"     ",""
"S g18 c1 a25 t8",0.9097656,0.0204067,0.8609919,0.9425676,"     ",""
"S g22 c1 a25 t4",0.887497,0.0165352,0.8507932,0.9160628,"     ",""
"S g62 c1 a73 t12",0.999677,0.0003370113,0.9975069,0.9999582,"     ",""
"S g66 c1 a73 t8",0.9998601,0.0001398926,0.9990072,0.9999803,"     ",""
"S g70 c1 a73 t4",0.9998213,0.0001865577,0.9986187,0.9999769,"     ",""
"r g18 c1 a25 t8",0.0087892,0.0020252,0.0055907,0.0137921,"     ",""
"r g66 c1 a73 t8",1,7.764787e-12,1,1,"     ",""
"R g12 c1 a12 t1",0.0014275,0.0002358979,0.0010325,0.0019734,"     ",""
"R g12 c1 a16 t5",0.0023086,0.0003369743,0.0017341,0.0030729,"     ",""
"R g12 c1 a20 t9",0.0011534,0.000206732,0.0008116711,0.0016388,"     ",""
"R g14 c1 a25 t12",0.0016301,0.00020498,0.001274,0.0020856,"     ",""
"R g18 c1 a25 t8",0.0032612,0.0002481525,0.0028093,0.0037856,"     ",""
"R g22 c1 a25 t4",0.0020173,0.0002155643,0.001636,0.0024872,"     ",""
"R g62 c1 a73 t12",0.0004806146,0.0001332701,0.0002790848,0.0008275506,"     ",""
"R g66 c1 a73 t8",0.0009626448,0.0002620782,0.0005645124,0.0016411,"     ",""
"R g70 c1 a73 t4",0.0005949367,0.0001720692,0.0003374774,0.0010486,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
