"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9193769,0.0382834,0.8055893,0.9691182,"     ",""
"S g12 c1 a16 t5",0.961893,0.0231217,0.8799699,0.9886247,"     ",""
"S g12 c1 a20 t9",0.9150625,0.0506964,0.750003,0.9748034,"     ",""
"S g14 c1 a25 t12",0.8699399,0.0626224,0.693306,0.9519025,"     ",""
"S g18 c1 a25 t8",0.9400181,0.0338549,0.8284962,0.9807103,"     ",""
"S g22 c1 a25 t4",0.8762362,0.0407168,0.7723041,0.9366215,"     ",""
"S g62 c1 a73 t12",0.9862385,0.0170957,0.8585338,0.9988198,"     ",""
"S g66 c1 a73 t8",0.9940798,0.0060168,0.9576939,0.9991978,"     ",""
"S g68 c1 a73 t4",0.9869889,0.0157109,0.8733553,0.998803,"     ",""
"r g18 c1 a25 t8",0.1721051,0.0946901,0.0534881,0.4333395,"     ",""
"r g66 c1 a73 t8",0.9999981,0.002845,2.944202e-303,1,"     ",""
"R g12 c1 a12 t1",0.0053979,0.0020307,0.0025792,0.0112624,"     ",""
"R g12 c1 a16 t5",0.0222584,0.0062852,0.0127602,0.0385505,"     ",""
"R g12 c1 a20 t9",0.0074427,0.0027332,0.0036179,0.0152492,"     ",""
"R g14 c1 a25 t12",0.0189671,0.0053068,0.0109339,0.032707,"     ",""
"R g18 c1 a25 t8",0.055442,0.0075733,0.0423372,0.0722969,"     ",""
"R g22 c1 a25 t4",0.0138001,0.0036615,0.008191,0.0231607,"     ",""
"R g62 c1 a73 t12",0.0088454,0.0040132,0.0036254,0.0214203,"     ",""
"R g66 c1 a73 t8",0.0263792,0.0107931,0.0117496,0.0581522,"     ",""
"R g68 c1 a73 t4",0.0064178,0.0031719,0.0024306,0.0168353,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
