"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3646511.57416658,2496285.09975903,322772,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3451784.21565787,2393417.53008612,106185,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,2e-04,3e-04,1000,742,15,10,29,5,43,234,1000,1,742
4,3528058.47328238,2407106.27089745,150869,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,4e-04,6e-04,2000,1446,32,21,61,11,87,241,1000,2,1446
5,3662314.35857072,2424637.07933385,212461,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,4e-04,6e-04,2000,1373,59,30,95,29,143,0,0,4,1373
6,3570972.481552,2377291.27958959,263784,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,4e-04,5e-04,2000,1289,65,45,113,20,174,0,0,9,1289
7,3436001.72012285,2304253.39272254,398951,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,3e-04,5e-04,2000,1188,81,50,115,31,191,0,0,9,1188
8,3214151.72452349,2173905.65456517,156790,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,4e-04,5e-04,2000,1131,45,23,75,22,112,0,0,3,1131
9,3086073.37209613,2123664.25194326,81628,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,4e-04,5e-04,2000,1099,19,9,41,10,56,0,0,1,1099
10,2995153.01359154,2098044.08297935,40179,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,4e-04,5e-04,2000,1078,12,8,15,4,24,0,0,0,1078
11,2926663.86252942,2085280.31740705,42078,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,4e-04,5e-04,2000,1055,12,7,17,5,27,0,0,2,1055
12,2859282.49160249,2068931.91832183,132630,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,4e-04,5e-04,2000,1008,30,19,62,11,89,0,0,2,1008
