"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.001,0.0016,5515,3998,182,108,336,74,7,1274,5515,19,3998
2,3656446.70097031,2498649.10473352,323077,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0034,11975,8391,461,242,799,219,31,1465,6460,56,8391
3,3503913.43801466,2406125.61632841,106749,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14108,9713,173,92,354,81,10,502,2133,12,9713
4,3502615.31688451,2402959.20004504,150608,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17119,11527,293,147,554,146,7,721,3011,21,11527
5,3632813.64895093,2418672.02557078,211938,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.0039,0.0058,21356,14030,506,287,961,219,32,1013,4237,47,14030
6,3563613.51260595,2375645.04335374,263601,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.0048,0.0071,26627,16965,792,403,1424,389,47,1271,5271,98,16965
7,3410529.12449168,2298061.77873969,397879,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0062,0.0092,34582,21134,1571,1033,2118,538,83,1878,7955,199,21134
8,3169270.28982249,2162315.15488583,155954,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0071,0.0104,37699,22510,694,355,1266,339,46,717,3117,60,22510
9,3043484.75079312,2111265.86471949,81152,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0076,0.0109,39321,23053,369,203,703,166,19,356,1622,22,23053
10,2953845.57694081,2084698.54623167,39925,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.0078,0.0111,40117,23144,182,111,370,71,14,186,796,9,23144
11,2886507.26709682,2071018.9206656,41792,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0081,0.0112,40951,23265,186,100,381,86,18,200,834,10,23265
12,2820251.05246736,2053815.88966431,131663,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0086,0.0118,43582,24263,666,338,1210,328,38,590,2631,57,24263
