"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3632065.05601471,2492847.63575381,322327,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3449499.46967194,2392431.46433459,106142,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,2e-04,3e-04,1000,725,9,5,24,4,33,258,1000,1,725
4,3590715.64247485,2421516.53237578,151770,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,4e-04,6e-04,2000,1432,38,21,69,17,105,231,1000,4,1432
5,3621770.20672559,2416442.73788219,211744,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,4e-04,6e-04,2000,1362,51,27,105,24,152,0,0,6,1362
6,3510080.78374529,2362951.61910755,262194,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,4e-04,5e-04,2000,1272,63,29,119,34,168,0,0,8,1272
7,3357493.8069516,2283847.03049191,395420,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,3e-04,5e-04,2000,1165,94,62,130,32,213,0,0,13,1165
8,3123472.85704212,2148297.68855146,154944,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,4e-04,5e-04,2000,1109,36,17,68,19,100,0,0,1,1109
9,3000938.52437461,2096727.42830415,80596,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,4e-04,5e-04,2000,1080,12,7,44,5,54,0,0,1,1080
10,2912614.29288711,2069298.37621144,39631,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,4e-04,5e-04,2000,1054,12,8,11,4,23,0,0,1,1054
11,2846424.7979846,2054766.79150712,41463,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,4e-04,5e-04,2000,1036,8,3,19,5,25,0,0,0,1036
12,2781254.15653245,2036759.91958986,130570,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,4e-04,5e-04,2000,1002,25,15,40,10,62,0,0,1,1002
