"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9602615,0.0390104,0.765159,0.9944511,"     ",""
"S g12 c1 a16 t5",0.901142,0.0547187,0.7322539,0.9681351,"     ",""
"S g12 c1 a20 t9",0.5358857,0.1982015,0.1949509,0.8462823,"     ",""
"S g13 c1 a25 t12",0.7707515,0.0663823,0.6168512,0.8753282,"     ",""
"S g17 c1 a25 t8",0.9636925,0.026584,0.8568767,0.9915735,"     ",""
"S g21 c1 a25 t4",0.985987,0.015136,0.8915329,0.9983425,"     ",""
"S g60 c1 a73 t12",0.6530296,0.3724593,0.0698173,0.9792505,"     ",""
"S g63 c1 a73 t7",0.9369423,0.0868932,0.4541117,0.9962462,"     ",""
"S g66 c1 a73 t2",0.9752406,0.0446002,0.5132988,0.9993207,"     ",""
"r g17 c1 a25 t8",0.6027849,0.424918,0.0447336,0.9800707,"     ",""
"r g63 c1 a73 t7",0.2659103,0.3662161,0.0090796,0.934726,"     ",""
"R g12 c1 a12 t1",0.0459249,0.0130631,0.0261329,0.0794833,"     ",""
"R g12 c1 a16 t5",0.0607737,0.0162588,0.0357022,0.1015964,"     ",""
"R g12 c1 a20 t9",0.0199764,0.008708,0.0084522,0.0464767,"     ",""
"R g13 c1 a25 t12",0.0171328,0.0058912,0.0087044,0.033447,"     ",""
"R g17 c1 a25 t8",0.0524335,0.0069898,0.0403069,0.0679502,"     ",""
"R g21 c1 a25 t4",0.0395367,0.0076772,0.0269501,0.0576532,"     ",""
"R g60 c1 a73 t12",0.0096472,0.0064323,0.0025966,0.0351673,"     ",""
"R g63 c1 a73 t7",0.0299952,0.0163547,0.010171,0.085135,"     ",""
"R g66 c1 a73 t2",0.0224865,0.0129128,0.007221,0.0678194,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
