"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3630267.28814631,2492419.86746582,322272,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3444492.58356276,2391185.03837002,106086,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,1e-04,1e-04,250,186,0,0,9,0,9,62,250,0,186
4,3526480.57623851,2406024.01068386,150800,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,1e-04,1e-04,500,353,8,2,15,6,22,66,250,1,353
5,3518354.07107854,2389651.85128031,209397,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,1e-04,1e-04,500,337,13,5,24,8,33,0,0,1,337
6,3471361.44193951,2348457.1864002,260586,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,1e-04,1e-04,500,318,15,8,26,7,40,0,0,0,318
7,3305619.90384379,2265260.12568747,392203,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,1e-04,1e-04,500,282,30,21,24,9,52,0,0,6,282
8,3077372.2910287,2129846.71229498,153615,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,1e-04,1e-04,500,271,7,5,17,2,21,0,0,0,271
9,2956209.24836919,2077459.54742301,79853,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,1e-04,1e-04,500,264,2,1,5,1,7,0,0,0,264
10,2869565.68410965,2049307.13072395,39249,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,1e-04,1e-04,500,259,2,2,4,0,6,0,0,0,259
11,2804476.45517219,2033956.21009641,41045,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,1e-04,1e-04,500,254,3,2,0,1,2,0,0,0,254
12,2740397.56824431,2015199.29839194,129188,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,1e-04,1e-04,500,240,6,4,10,2,15,0,0,1,240
