"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.8660134,0.0447838,0.7520715,0.9323039,"     ",""
"S g12 c1 a18 t5",0.9288196,0.0303039,0.8416172,0.9697366,"     ",""
"S g12 c1 a22 t9",0.5241877,0.1013666,0.3318672,0.7095922,"     ",""
"S g12 c1 a25 t12",0.7676024,0.0422254,0.6749987,0.8400719,"     ",""
"S g17 c1 a25 t8",0.9750762,0.0118877,0.9374943,0.9902957,"     ",""
"S g21 c1 a25 t4",0.9509283,0.0158942,0.9085916,0.9742129,"     ",""
"S g61 c1 a73 t12",0.4174818,0.1960394,0.1286327,0.7767564,"     ",""
"S g65 c1 a73 t8",0.894613,0.0756444,0.6378814,0.9761382,"     ",""
"S g69 c1 a73 t4",0.8078678,0.1197992,0.4808735,0.9502149,"     ",""
"r g17 c1 a25 t8",0.8868282,0.417857,0.0022344,0.9999635,"     ",""
"r g65 c1 a73 t8",0.2364735,0.1801136,0.0419937,0.68635,"     ",""
"R g12 c1 a14 t1",0.035777,0.0080863,0.0229,0.0554838,"     ",""
"R g12 c1 a18 t5",0.0538546,0.0112091,0.0356647,0.0805469,"     ",""
"R g12 c1 a22 t9",0.0238147,0.0068347,0.0135252,0.0416021,"     ",""
"R g12 c1 a25 t12",0.0293111,0.0057738,0.0198834,0.0430129,"     ",""
"R g17 c1 a25 t8",0.0658167,0.0053231,0.056121,0.0770508,"     ",""
"R g21 c1 a25 t4",0.0439102,0.005946,0.0336243,0.0571564,"     ",""
"R g61 c1 a73 t12",0.0145752,0.008616,0.0045434,0.0457393,"     ",""
"R g65 c1 a73 t8",0.0333586,0.018154,0.0113181,0.0942294,"     ",""
"R g69 c1 a73 t4",0.022001,0.0123664,0.0072399,0.0648911,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
