"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3640979.4891774,2494968.77268117,322602,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3464882.78274621,2396364.83039226,106316,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,1e-04,2e-04,500,375,4,3,16,1,18,116,500,0,375
4,3534241.63847888,2408818.85244166,150975,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,2e-04,3e-04,1000,731,19,8,26,11,43,110,500,1,731
5,3672079.49018238,2427384.2656675,212700,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,2e-04,3e-04,1000,695,29,16,46,13,72,0,0,1,695
6,3592310.04010516,2383076.25951293,264426,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,2e-04,3e-04,1000,637,45,21,48,24,89,0,0,5,637
7,3445912.58031686,2307943.85767756,399590,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,2e-04,2e-04,1000,573,58,34,54,24,106,0,0,5,573
8,3248305.86453147,2183594.78177061,157488,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,2e-04,3e-04,1000,551,12,5,37,7,49,0,0,3,551
9,3119866.14284473,2134263.06813303,82035,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,2e-04,3e-04,1000,535,11,8,17,3,27,0,0,0,535
10,3027987.00357805,2109382.0031301,40398,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,2e-04,3e-04,1000,528,2,0,4,2,6,0,0,0,528
11,2958548.46258878,2097315.73502095,42319,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,2e-04,2e-04,1000,522,2,0,5,2,5,0,0,0,522
12,2890283.99396626,2081625.7449232,133443,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,2e-04,2e-04,1000,502,16,9,34,7,48,0,0,1,502
