"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3634090.78149142,2493329.64521363,322390,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3466384.4858317,2396511.20087121,106322,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,2e-04,3e-04,1000,736,13,9,29,4,39,239,1000,0,736
4,3471229.42026993,2393667.85291153,150026,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,4e-04,6e-04,2000,1435,31,19,54,12,83,246,1000,5,1435
5,3457068.73927861,2374126.50704234,208037,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,4e-04,6e-04,2000,1346,54,33,80,21,127,0,0,7,1346
6,3362949.89456022,2319868.60576496,257416,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,4e-04,5e-04,2000,1260,61,28,90,33,144,0,0,8,1260
7,3196547.97592901,2233304.33299753,386672,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,4e-04,5e-04,2000,1145,91,57,140,34,221,0,0,11,1145
8,2984110.21955477,2098645.13426433,151366,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,4e-04,5e-04,2000,1097,33,16,64,17,96,0,0,2,1097
9,2867724.59273997,2044849.9302068,78602,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,4e-04,5e-04,2000,1069,16,9,33,7,47,0,0,3,1069
10,2783527.75343733,2014892.17676831,38593,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,4e-04,5e-04,2000,1041,13,5,12,8,23,0,0,0,1041
11,2720815.32784613,1997805.19301892,40318,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,4e-04,5e-04,2000,1019,6,3,10,3,14,0,0,0,1019
12,2658975.61346249,1977416.7541865,126771,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,4e-04,5e-04,2000,977,28,15,42,13,69,0,0,2,977
