"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a13 t1",0.7440114,0.0949641,0.5223979,0.8853598,"     ",""
"S g12 c1 a17 t5",0.9338007,0.0603787,0.6752871,0.9896564,"     ",""
"S g12 c1 a21 t9",0.7921064,0.1150415,0.4921029,0.9374343,"     ",""
"S g13 c1 a25 t12",0.9131463,0.054177,0.7337611,0.9756733,"     ",""
"S g17 c1 a25 t8",0.974952,0.0258419,0.8302668,0.9967817,"     ",""
"S g21 c1 a25 t4",0.889134,0.0627547,0.6972316,0.9654339,"     ",""
"S g59 c1 a73 t12",0.9410626,0.5325702,1.070856e-07,1,"     ",""
"S g63 c1 a73 t8",0.9833648,0.1569405,4.029556e-07,1,"     ",""
"S g66 c1 a73 t3",0.924127,0.6561738,1.317175e-07,1,"     ",""
"r g17 c1 a25 t8",0.5631463,0.5632591,0.014293,0.9913497,"     ",""
"r g63 c1 a73 t8",0.6363177,5.3488217,3.702653e-20,1,"     ",""
"R g12 c1 a13 t1",0.030203,0.0129339,0.0129373,0.0689024,"     ",""
"R g12 c1 a17 t5",0.0300646,0.0125067,0.0131967,0.0670285,"     ",""
"R g12 c1 a21 t9",0.0169159,0.0084785,0.0062947,0.044653,"     ",""
"R g13 c1 a25 t12",0.016966,0.0056446,0.0088121,0.032418,"     ",""
"R g17 c1 a25 t8",0.0301525,0.0061701,0.0201456,0.0449023,"     ",""
"R g21 c1 a25 t4",0.0302913,0.00786,0.0181529,0.0501318,"     ",""
"R g59 c1 a73 t12",0.0031182,0.005968,7.26063e-05,0.1187454,"     ",""
"R g63 c1 a73 t8",0.0056031,0.0103783,0.0001463044,0.1782933,"     ",""
"R g66 c1 a73 t3",0.0056296,0.0104463,0.0001460121,0.1799799,"     ",""
"p g12 c1 a14 t2",0,0,0,0,"Fixed",""
"r g12 c1 a13 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a13 t1",1,0,1,1,"Fixed",""
