"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.0011,0.0016,5515,4022,152,82,309,70,10,1270,5515,12,4022
2,3640988.24507307,2494970.85609503,322602,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0034,11965,8379,431,225,803,206,10,1526,6450,56,8379
3,3469075.79543017,2397362.78921785,106360,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14090,9697,180,83,340,97,14,466,2125,9,9697
4,3487369.84915463,2397795.96934597,150285,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17095,11550,284,155,543,129,17,698,3005,30,11550
5,3450819.89550267,2373415.40197322,207976,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.0041,0.0059,21252,13992,491,256,941,235,31,1007,4157,48,13992
6,3410135.97319149,2331649.22940843,258723,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.005,0.0073,26425,16929,782,426,1417,356,32,1209,5173,94,16929
7,3340660.63900913,2269571.44974487,392949,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0063,0.0093,34282,21140,1552,1017,2095,535,87,1778,7857,193,21140
8,3107912.10837906,2134362.79084921,153941,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0073,0.0106,37359,22551,609,315,1331,294,33,733,3077,57,22551
9,2984582.91850931,2082501.838405,80049,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0077,0.0111,38958,23036,408,216,711,192,24,385,1599,23,23036
10,2896801.96577313,2055003.7160823,39359,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.008,0.0113,39743,23121,177,94,341,83,10,182,785,8,23121
11,2830875.9693523,2040309.23683078,41174,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0082,0.0114,40564,23276,187,88,368,99,12,177,821,12,23276
12,2766012.78115364,2022176.80434505,129637,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0088,0.012,43154,24277,646,315,1301,331,39,629,2590,58,24277
