"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8892224,0.0425118,0.7750333,0.9492466,"     ",""
"S g12 c1 a16 t5",0.9398533,0.0319012,0.8379219,0.979266,"     ",""
"S g12 c1 a20 t9",0.8156047,0.0678416,0.6462749,0.9145883,"     ",""
"S g14 c1 a25 t12",0.8052072,0.0404518,0.7137512,0.8726565,"     ",""
"S g18 c1 a25 t8",0.9359113,0.0276227,0.8555278,0.9729823,"     ",""
"S g22 c1 a25 t4",0.8823773,0.0242113,0.8260538,0.9221814,"     ",""
"S g62 c1 a73 t12",0.4485317,0.2140534,0.1297969,0.8160101,"     ",""
"S g66 c1 a73 t8",0.7418268,0.1594274,0.3598342,0.9362584,"     ",""
"S g70 c1 a73 t4",0.5961309,0.2085112,0.2128042,0.8896178,"     ",""
"r g18 c1 a25 t8",0.0059359,0.0026319,0.002485,0.0141115,"     ",""
"r g66 c1 a73 t8",0.0016198,0.0017134,0.0002033212,0.012778,"     ",""
"R g12 c1 a12 t1",0.0006385829,0.0001740802,0.0003742301,0.0010895,"     ",""
"R g12 c1 a16 t5",0.0010579,0.0002559937,0.0006583128,0.0016997,"     ",""
"R g12 c1 a20 t9",0.0005768658,0.0001642837,0.0003300857,0.001008,"     ",""
"R g14 c1 a25 t12",0.0010513,0.0001910341,0.0007362812,0.001501,"     ",""
"R g18 c1 a25 t8",0.0019273,0.0002139541,0.0015504,0.0023956,"     ",""
"R g22 c1 a25 t4",0.0011638,0.0002004862,0.0008302176,0.0016311,"     ",""
"R g62 c1 a73 t12",0.000831168,0.0006549349,0.000177289,0.0038873,"     ",""
"R g66 c1 a73 t8",0.001524,0.0011729,0.0003368053,0.0068668,"     ",""
"R g70 c1 a73 t4",0.0009200671,0.0007246064,0.0001963964,0.0042988,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
