"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.8532402,0.0521236,0.7199856,0.9293073,"     ",""
"S g12 c1 a18 t5",0.9632577,0.0186927,0.9030169,0.986634,"     ",""
"S g12 c1 a22 t9",0.7095103,0.0839772,0.5235849,0.844435,"     ",""
"S g12 c1 a25 t12",0.7767234,0.0351092,0.7005412,0.8380065,"     ",""
"S g16 c1 a25 t8",0.9739174,0.0122388,0.9355794,0.9896911,"     ",""
"S g20 c1 a25 t4",0.8922478,0.0232495,0.8375257,0.9300779,"     ",""
"S g60 c1 a73 t12",0.3627736,0.1419881,0.1458892,0.6548713,"     ",""
"S g64 c1 a73 t8",0.8593668,0.083742,0.6110998,0.9596177,"     ",""
"S g68 c1 a73 t4",0.5753934,0.1412133,0.3038609,0.8079526,"     ",""
"r g16 c1 a25 t8",0.4040749,0.1883032,0.1277249,0.7584493,"     ",""
"r g64 c1 a73 t8",0.1836878,0.1058011,0.0534276,0.4728767,"     ",""
"R g12 c1 a14 t1",0.0196189,0.0043529,0.0126794,0.0302403,"     ",""
"R g12 c1 a18 t5",0.0327698,0.0066467,0.0219683,0.0486183,"     ",""
"R g12 c1 a22 t9",0.017014,0.0043483,0.0102909,0.0280051,"     ",""
"R g12 c1 a25 t12",0.0195633,0.0031808,0.0142116,0.0268753,"     ",""
"R g16 c1 a25 t8",0.0375897,0.0029344,0.0322426,0.0437834,"     ",""
"R g20 c1 a25 t4",0.0225496,0.0028329,0.0176166,0.0288235,"     ",""
"R g60 c1 a73 t12",0.0208565,0.0114229,0.0070661,0.0599358,"     ",""
"R g64 c1 a73 t8",0.0400258,0.0204412,0.0144844,0.1057722,"     ",""
"R g68 c1 a73 t4",0.0240354,0.0126209,0.008506,0.0660283,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
