"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9389564,0.0448592,0.7683811,0.9861724,"     ",""
"S g12 c1 a16 t5",0.9136609,0.0506479,0.7504024,0.9738548,"     ",""
"S g12 c1 a20 t9",0.4667244,0.1497001,0.212124,0.7399234,"     ",""
"S g13 c1 a25 t12",0.7818989,0.0521231,0.6632244,0.8671322,"     ",""
"S g17 c1 a25 t8",0.9774507,0.01306,0.9313663,0.9928297,"     ",""
"S g21 c1 a25 t4",0.9843767,0.0116232,0.9347422,0.9964048,"     ",""
"S g59 c1 a73 t12",0.3300506,0.2749153,0.0412956,0.8492735,"     ",""
"S g61 c1 a73 t7",0.8562542,0.1539057,0.3393241,0.9857318,"     ",""
"S g63 c1 a73 t4",0.8964626,0.1184633,0.4150729,0.9906231,"     ",""
"r g17 c1 a25 t8",0.8287144,0.4854931,0.0058985,0.9997466,"     ",""
"r g61 c1 a73 t7",0.0847195,0.1041176,0.006616,0.5626326,"     ",""
"R g12 c1 a12 t1",0.0420379,0.012687,0.0231188,0.0752468,"     ",""
"R g12 c1 a16 t5",0.0511376,0.0148757,0.0287031,0.0894915,"     ",""
"R g12 c1 a20 t9",0.02207,0.0087185,0.010121,0.0474499,"     ",""
"R g13 c1 a25 t12",0.0254986,0.0067136,0.0151744,0.0425437,"     ",""
"R g17 c1 a25 t8",0.0588103,0.0064034,0.0474452,0.0726902,"     ",""
"R g21 c1 a25 t4",0.048415,0.0085062,0.0342176,0.0680878,"     ",""
"R g59 c1 a73 t12",0.0217182,0.0155665,0.0052531,0.0853617,"     ",""
"R g61 c1 a73 t7",0.0503463,0.0322526,0.0139346,0.1658957,"     ",""
"R g63 c1 a73 t4",0.0413813,0.0268305,0.0113365,0.1397945,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
