"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8888964,0.0351192,0.7993978,0.9413926,"     ",""
"S g12 c1 a16 t5",0.971476,0.0129736,0.9315296,0.9884073,"     ",""
"S g12 c1 a20 t9",0.7584433,0.0640479,0.6127679,0.8616862,"     ",""
"S g14 c1 a25 t12",0.7800392,0.0339574,0.7064049,0.8394043,"     ",""
"S g18 c1 a25 t8",0.9746624,0.0100046,0.9456163,0.9883857,"     ",""
"S g22 c1 a25 t4",0.9003615,0.0209972,0.8510045,0.9346243,"     ",""
"S g62 c1 a73 t12",0.8509181,0.1162409,0.4864624,0.9717445,"     ",""
"S g66 c1 a73 t8",0.984105,0.015273,0.9013226,0.9976228,"     ",""
"S g70 c1 a73 t4",0.9356662,0.0556581,0.703683,0.9888978,"     ",""
"r g18 c1 a25 t8",0.4400634,0.1750657,0.163361,0.7598068,"     ",""
"r g66 c1 a73 t8",2.196862e-18,1.378536e-10,-2.70193e-10,2.70193e-10,"     ",""
"R g12 c1 a12 t1",0.0170939,0.0031075,0.0119583,0.0243806,"     ",""
"R g12 c1 a16 t5",0.0290775,0.0046322,0.0212511,0.0396695,"     ",""
"R g12 c1 a20 t9",0.0122619,0.0026651,0.0080006,0.0187499,"     ",""
"R g14 c1 a25 t12",0.019032,0.002951,0.0140328,0.0257656,"     ",""
"R g18 c1 a25 t8",0.0447117,0.0031323,0.0389587,0.0512688,"     ",""
"R g22 c1 a25 t4",0.0264604,0.0031285,0.020973,0.0333346,"     ",""
"R g62 c1 a73 t12",0.0085477,0.003179,0.004116,0.0176661,"     ",""
"R g66 c1 a73 t8",0.0203748,0.0070151,0.010336,0.0397721,"     ",""
"R g70 c1 a73 t4",0.0119337,0.0043216,0.0058541,0.0241735,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
