"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.001,0.0015,5515,3946,186,95,322,91,8,1311,5515,25,3946
2,3637778.25003498,2494207.05666015,322503,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0033,11964,8330,428,221,791,207,18,1501,6449,49,8330
3,3462953.30062575,2395807.68963721,106291,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14088,9645,172,93,336,79,9,479,2124,13,9645
4,3448221.0472339,2388196.25142148,149684,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17081,11459,289,137,577,152,19,713,2993,22,11459
5,3437397.13440514,2368738.50727746,207566,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.004,0.0058,21230,13849,534,276,943,258,28,1000,4149,57,13849
6,3333703.44682978,2311624.38245637,256501,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.005,0.0072,26359,16681,783,441,1399,342,49,1250,5129,99,16681
7,3193213.17357291,2230382.88603996,386166,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0065,0.0093,34080,20726,1467,939,2095,528,61,1870,7721,201,20726
8,2968418.16653031,2092796.41180285,150945,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0074,0.0105,37097,22024,668,342,1262,326,37,699,3017,61,22024
9,2849840.45409823,2038073.70881482,78343,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0079,0.0111,38662,22548,362,182,717,180,22,349,1565,25,22548
10,2767094.68742425,2007983.76950213,38462,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.0082,0.0113,39429,22616,189,99,373,90,17,196,767,7,22616
11,2704783.93404774,1990561.2296321,40173,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0084,0.0114,40230,22705,222,108,429,114,11,176,801,13,22705
12,2643370.25899999,1969868.50604973,126285,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.009,0.012,42753,23689,630,325,1229,305,32,578,2523,48,23689
