"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9027942,0.0201537,0.8555169,0.9357631,"     ",""
"S g12 c1 a16 t5",0.9423997,0.0140523,0.9078372,0.9645075,"     ",""
"S g12 c1 a20 t9",0.7057536,0.0503565,0.5985846,0.7941502,"     ",""
"S g14 c1 a25 t12",0.7782323,0.0261372,0.7228344,0.8252347,"     ",""
"S g18 c1 a25 t8",0.9598998,0.0090539,0.9378727,0.974331,"     ",""
"S g22 c1 a25 t4",0.931452,0.0110184,0.9064445,0.9501426,"     ",""
"S g62 c1 a73 t12",0.8479527,0.08041,0.621572,0.9498383,"     ",""
"S g66 c1 a73 t8",0.9743864,0.0167781,0.9106048,0.9930105,"     ",""
"S g70 c1 a73 t4",0.9557419,0.0275175,0.8578303,0.9872263,"     ",""
"r g18 c1 a25 t8",0.542612,0.1209994,0.313305,0.755181,"     ",""
"r g66 c1 a73 t8",0.3656612,0.2819959,0.0505108,0.8619981,"     ",""
"R g12 c1 a12 t1",0.0423831,0.0050642,0.0334962,0.0534974,"     ",""
"R g12 c1 a16 t5",0.0608234,0.0066009,0.0491016,0.0751224,"     ",""
"R g12 c1 a20 t9",0.0248637,0.003922,0.0182312,0.033826,"     ",""
"R g14 c1 a25 t12",0.0284323,0.0033402,0.0225684,0.0357642,"     ",""
"R g18 c1 a25 t8",0.0691871,0.0033609,0.062883,0.0760718,"     ",""
"R g22 c1 a25 t4",0.0483416,0.0036097,0.0417382,0.0559288,"     ",""
"R g62 c1 a73 t12",0.017271,0.0042218,0.010678,0.0278205,"     ",""
"R g66 c1 a73 t8",0.0427308,0.0093814,0.0276879,0.0653971,"     ",""
"R g70 c1 a73 t4",0.0296029,0.0068334,0.0187788,0.0463712,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
