"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8191323,0.0404714,0.7261281,0.8855321,"     ",""
"S g12 c1 a16 t5",0.8956539,0.0314435,0.8161396,0.9431748,"     ",""
"S g12 c1 a20 t9",0.6505699,0.0736515,0.4966328,0.7784332,"     ",""
"S g14 c1 a25 t12",0.8074102,0.034803,0.729994,0.8666833,"     ",""
"S g18 c1 a25 t8",0.9508072,0.015516,0.9098143,0.9737057,"     ",""
"S g22 c1 a25 t4",0.9106994,0.0203749,0.8618997,0.9433876,"     ",""
"S g62 c1 a73 t12",0.7823753,0.149732,0.3907689,0.9527188,"     ",""
"S g66 c1 a73 t8",0.943099,0.0481774,0.7404338,0.9897227,"     ",""
"S g70 c1 a73 t4",0.8973847,0.0817465,0.6055288,0.9803231,"     ",""
"r g18 c1 a25 t8",0.2262763,0.0706147,0.1171188,0.3919999,"     ",""
"r g66 c1 a73 t8",2.488554e-08,2.221702e-05,1.38430400562087e-316,1,"     ",""
"R g12 c1 a12 t1",0.0233639,0.0044792,0.0160215,0.0339549,"     ",""
"R g12 c1 a16 t5",0.0346461,0.0063426,0.0241506,0.0494717,"     ",""
"R g12 c1 a20 t9",0.0166861,0.0040687,0.0103293,0.0268488,"     ",""
"R g14 c1 a25 t12",0.0195989,0.0033036,0.014071,0.0272384,"     ",""
"R g18 c1 a25 t8",0.0405648,0.0032745,0.0346114,0.0474919,"     ",""
"R g22 c1 a25 t4",0.0274099,0.0031747,0.0218285,0.0343684,"     ",""
"R g62 c1 a73 t12",0.0070531,0.0035136,0.0026499,0.0186357,"     ",""
"R g66 c1 a73 t8",0.0148007,0.007003,0.0058266,0.0370812,"     ",""
"R g70 c1 a73 t4",0.0099146,0.004806,0.0038211,0.0254771,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
