"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8877302,0.0339384,0.8022373,0.9390714,"     ",""
"S g12 c1 a16 t5",0.9183076,0.0276937,0.8450148,0.9586367,"     ",""
"S g12 c1 a20 t9",0.7078454,0.0782735,0.5357106,0.8357307,"     ",""
"S g14 c1 a25 t12",0.8050191,0.0394512,0.7161283,0.8710856,"     ",""
"S g18 c1 a25 t8",0.9503859,0.0156612,0.9090095,0.9734957,"     ",""
"S g22 c1 a25 t4",0.930912,0.0191585,0.8825627,0.9602523,"     ",""
"S g62 c1 a73 t12",0.9784348,0.022503,0.8487152,0.9972821,"     ",""
"S g66 c1 a73 t8",0.9952719,0.0047471,0.9668265,0.9993427,"     ",""
"S g69 c1 a73 t4",0.9932918,0.0071957,0.946902,0.9991873,"     ",""
"r g18 c1 a25 t8",0.4887329,0.1531662,0.223305,0.7606701,"     ",""
"r g66 c1 a73 t8",0.9999931,0.0065288,8.062851e-304,1,"     ",""
"R g12 c1 a12 t1",0.0343104,0.0074583,0.0223442,0.0523418,"     ",""
"R g12 c1 a16 t5",0.0574184,0.0110682,0.0392,0.0833692,"     ",""
"R g12 c1 a20 t9",0.023246,0.0062851,0.013645,0.0393333,"     ",""
"R g14 c1 a25 t12",0.0273059,0.0052674,0.0186758,0.0397624,"     ",""
"R g18 c1 a25 t8",0.0670369,0.0058639,0.0564183,0.0794856,"     ",""
"R g22 c1 a25 t4",0.040223,0.0057549,0.0303412,0.0531469,"     ",""
"R g62 c1 a73 t12",0.0163517,0.005298,0.0086411,0.0307292,"     ",""
"R g66 c1 a73 t8",0.0408126,0.0117782,0.0230492,0.0712672,"     ",""
"R g69 c1 a73 t4",0.0242159,0.0077961,0.012832,0.0452361,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
