"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8256653,0.036117,0.743344,0.8856445,"     ",""
"S g12 c1 a16 t5",0.9139544,0.0224831,0.8584595,0.948984,"     ",""
"S g12 c1 a20 t9",0.7026997,0.0662042,0.5594833,0.8147702,"     ",""
"S g14 c1 a25 t12",0.8077937,0.0381144,0.7220376,0.8717904,"     ",""
"S g18 c1 a25 t8",0.9497149,0.0140667,0.9138152,0.9711332,"     ",""
"S g22 c1 a25 t4",0.8938574,0.018019,0.8530239,0.9243524,"     ",""
"S g62 c1 a73 t12",0.7711751,0.078407,0.5851827,0.8895183,"     ",""
"S g66 c1 a73 t8",0.9380616,0.0285421,0.8525627,0.9754097,"     ",""
"S g70 c1 a73 t4",0.8710173,0.050494,0.7367339,0.9421824,"     ",""
"r g18 c1 a25 t8",0.41302,0.1154004,0.2167907,0.6414075,"     ",""
"r g66 c1 a73 t8",0.2466195,0.165649,0.0539536,0.6526526,"     ",""
"R g12 c1 a12 t1",0.0271437,0.0054203,0.0183176,0.0400489,"     ",""
"R g12 c1 a16 t5",0.0502038,0.0087782,0.0355375,0.0704805,"     ",""
"R g12 c1 a20 t9",0.0220872,0.0053187,0.0137475,0.035305,"     ",""
"R g14 c1 a25 t12",0.0309846,0.005334,0.0220749,0.0433311,"     ",""
"R g18 c1 a25 t8",0.0696211,0.0052733,0.0599689,0.0806936,"     ",""
"R g22 c1 a25 t4",0.0379988,0.0047449,0.0297169,0.0484736,"     ",""
"R g62 c1 a73 t12",0.0268324,0.0084846,0.0143748,0.0495435,"     ",""
"R g66 c1 a73 t8",0.0606151,0.0167687,0.0349626,0.1030788,"     ",""
"R g70 c1 a73 t4",0.0329386,0.0099794,0.0180985,0.0592131,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
