"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1628,0,0,0,0,0.0013,0.0019,6891,4955,217,120,365,97,11,1633,6891,31,4955
2,3642707.77409151,2495380.00790896,322655,0.129253367294227,0.0645180510234625,61247,1531,NA,0,NA,0,0.0029,0.0042,14954,10408,540,288,1000,252,38,1895,8063,69,10408
3,3461997.96379088,2395731.32651702,106288,0.0443194499071432,0.0221224761126094,44701,1118,NA,0,NA,0,0.0034,0.005,17610,11933,228,125,402,103,20,674,2656,12,11933
4,3424071.92390348,2382566.55041307,149331,0.0626314263710158,0.0312630738128393,86829,2171,NA,0,NA,0,0.0041,0.0059,21342,14161,390,219,753,171,34,900,3732,30,14161
5,3418228.31136315,2363544.48176663,207110,0.0875700411128721,0.0437114212102957,119947,2999,NA,0,NA,0,0.005,0.0073,26517,17239,658,328,1165,330,43,1162,5175,57,17239
6,3390071.20464949,2323838.22197887,257856,0.110908941206503,0.0553612557840029,138537,3463,NA,0,NA,0,0.0062,0.009,32960,20917,924,471,1671,453,72,1516,6443,112,20917
7,3255177.17599686,2245709.25206816,388819,0.173083137986633,0.0863960990857792,226157,5654,NA,0,NA,0,0.008,0.0116,42678,26135,1873,1214,2525,659,93,2222,9718,211,26135
8,3037235.03143501,2111615.74241981,152300,0.0720709170542172,0.035974885615374,99605,2490,NA,0,NA,0,0.0091,0.0132,46483,27784,852,448,1608,404,53,897,3805,81,27784
9,2918727.94670163,2058942.98978678,79144,0.0383839669878841,0.019159723204502,66288,1657,NA,0,NA,0,0.0098,0.0138,48459,28496,430,242,851,188,29,429,1976,29,28496
10,2833384.51017171,2030227.07562203,38886,0.019084869960835,0.00952639486061806,38846,971,NA,0,NA,0,0.0101,0.0141,49428,28590,256,140,414,116,14,229,969,12,28590
11,2769224.55693728,2014244.26976462,40648,0.0201171945934056,0.0100416895466385,43409,1085,NA,0,NA,0,0.0104,0.0143,50441,28770,227,117,474,110,16,243,1013,10,28770
12,2706026.88343303,1994903.58002729,127889,0.0640543179895995,0.0319733237349142,63366,1584,NA,0,NA,0,0.0111,0.015,53636,30020,758,404,1552,354,54,742,3195,58,30020
