"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.001,0.0015,5515,3994,154,86,308,68,12,1294,5515,13,3994
2,3641014.64173579,2494977.13702563,322603,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0034,11965,8379,415,222,763,193,25,1520,6450,45,8379
3,3483265.41805981,2400739.95885106,106510,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14093,9691,193,102,344,91,12,456,2128,12,9691
4,3489795.98692378,2398812.98912822,150348,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17099,11540,295,172,531,123,14,678,3006,27,11540
5,3399684.79916589,2361747.19816513,206952,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.0041,0.0059,21236,14012,506,267,959,239,34,927,4137,66,14012
6,3295031.93230443,2303166.63808109,255565,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.0051,0.0073,26346,16854,793,417,1451,376,51,1204,5110,98,16854
7,3265971.51030692,2247217.56711093,389080,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0064,0.0093,34125,20959,1580,1016,2099,564,84,1775,7779,206,20959
8,3044492.26826674,2112649.40497201,152375,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0073,0.0106,37171,22365,611,327,1274,284,29,692,3046,47,22365
9,2924180.81009099,2059792.9234365,79176,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0078,0.0111,38753,22904,385,210,731,175,20,348,1582,16,22904
10,2838559.72146453,2031193.22871582,38904,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.0081,0.0113,39529,23041,163,97,346,66,11,178,776,2,23041
11,2774206.68040109,2015327.27264588,40672,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0083,0.0115,40340,23134,209,107,394,102,14,183,811,12,23134
12,2710844.85086963,1996095.33556604,127966,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0089,0.0121,42897,24095,636,335,1282,301,39,645,2557,41,24095
