"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3634293.87859258,2493377.97097403,322396,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3462178.90368688,2395516.71837207,106279,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,3e-04,4e-04,1250,925,13,6,28,7,39,303,1250,0,925
4,3410367.27486514,2379061.93889723,149112,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,5e-04,8e-04,2500,1790,49,26,71,23,114,298,1250,5,1790
5,3338065.44935795,2343811.86310892,205383,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,5e-04,7e-04,2500,1716,54,27,123,27,171,0,0,2,1716
6,3254221.29919989,2288414.07176752,253927,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,5e-04,7e-04,2500,1603,84,44,118,40,189,0,0,11,1603
7,3110295.26271513,2204099.10688987,381616,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,5e-04,7e-04,2500,1465,103,70,166,33,254,0,0,11,1465
8,2896264.19489536,2066900.40497518,149077,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,5e-04,7e-04,2500,1400,35,20,78,15,106,0,0,4,1400
9,2780695.25715859,2010991.74195904,77303,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,5e-04,7e-04,2500,1356,23,11,40,12,66,0,0,5,1356
10,2699244.44725739,1979393.53148262,37915,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,5e-04,7e-04,2500,1315,11,6,23,5,30,0,0,0,1315
11,2638719.72935301,1960617.8396826,39568,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,5e-04,7e-04,2500,1292,8,4,30,4,37,0,0,0,1292
12,2579061.55054806,1938673.36589915,124287,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,5e-04,6e-04,2500,1247,29,16,65,13,91,0,0,1,1247
