"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9109308,0.0271318,0.8415265,0.9516843,"     ",""
"S g12 c1 a16 t5",0.9255915,0.0213607,0.871352,0.9580636,"     ",""
"S g12 c1 a20 t9",0.6664631,0.0637204,0.5325512,0.7780043,"     ",""
"S g14 c1 a25 t12",0.7773832,0.0384343,0.6932139,0.8436677,"     ",""
"S g18 c1 a25 t8",0.9560229,0.0123238,0.924463,0.9747569,"     ",""
"S g22 c1 a25 t4",0.9470148,0.0128985,0.9152487,0.9672999,"     ",""
"S g62 c1 a73 t12",0.9774685,0.0230026,0.8485086,0.9970328,"     ",""
"S g66 c1 a73 t7",0.9963109,0.0036924,0.97416,0.9994834,"     ",""
"S g69 c1 a73 t4",0.9955166,0.0047409,0.9651417,0.9994387,"     ",""
"r g18 c1 a25 t8",0.3627824,0.1044331,0.1901939,0.5798444,"     ",""
"r g66 c1 a73 t7",0.9999938,0.0041411,9.013144e-304,1,"     ",""
"R g12 c1 a12 t1",0.0420113,0.0066836,0.0306977,0.0572483,"     ",""
"R g12 c1 a16 t5",0.0632272,0.008931,0.0478229,0.0831602,"     ",""
"R g12 c1 a20 t9",0.0268245,0.0056499,0.0177153,0.0404247,"     ",""
"R g14 c1 a25 t12",0.028902,0.0048307,0.0207983,0.040034,"     ",""
"R g18 c1 a25 t8",0.0679273,0.0046112,0.0594281,0.0775419,"     ",""
"R g22 c1 a25 t4",0.0452104,0.0048731,0.0365644,0.0557825,"     ",""
"R g62 c1 a73 t12",0.0150025,0.0044181,0.0084056,0.0266376,"     ",""
"R g66 c1 a73 t7",0.0359547,0.0096274,0.0211804,0.0603989,"     ",""
"R g69 c1 a73 t4",0.023659,0.0068336,0.0133881,0.0414781,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
