"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8576788,0.0584858,0.7020423,0.9390746,"     ",""
"S g12 c1 a16 t5",0.8879349,0.0419694,0.7761097,0.9476731,"     ",""
"S g12 c1 a20 t9",0.6922584,0.1022384,0.4675645,0.8521195,"     ",""
"S g13 c1 a25 t12",0.8195496,0.0492053,0.7029047,0.8971018,"     ",""
"S g17 c1 a25 t8",0.9411671,0.0249454,0.8686895,0.9748007,"     ",""
"S g21 c1 a25 t4",0.9240537,0.0296115,0.8418062,0.965302,"     ",""
"S g61 c1 a73 t12",0.6172553,0.2647448,0.1520676,0.9354933,"     ",""
"S g65 c1 a73 t8",0.85031,0.1562689,0.3386504,0.9843788,"     ",""
"S g68 c1 a73 t4",0.8120459,0.174941,0.3136335,0.9761051,"     ",""
"r g17 c1 a25 t8",0.413835,0.1735946,0.14795,0.7416386,"     ",""
"r g65 c1 a73 t8",0.1216552,0.1393262,0.0106399,0.6407803,"     ",""
"R g12 c1 a12 t1",0.0324513,0.0111173,0.0164796,0.0629122,"     ",""
"R g12 c1 a16 t5",0.0514583,0.0158126,0.0279466,0.092861,"     ",""
"R g12 c1 a20 t9",0.0332353,0.0128565,0.0154497,0.0700393,"     ",""
"R g13 c1 a25 t12",0.0380531,0.0096105,0.0230996,0.0620716,"     ",""
"R g17 c1 a25 t8",0.0587571,0.0080302,0.0448571,0.0766189,"     ",""
"R g21 c1 a25 t4",0.0371598,0.0078769,0.024455,0.0560855,"     ",""
"R g61 c1 a73 t12",0.0368269,0.0330349,0.0061239,0.1917628,"     ",""
"R g65 c1 a73 t8",0.0569033,0.0481581,0.0102855,0.2594261,"     ",""
"R g68 c1 a73 t4",0.0359614,0.0309199,0.0064527,0.1764487,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
