"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a13 t1",0.7956506,0.103799,0.5269868,0.931541,"     ",""
"S g12 c1 a17 t5",0.9033276,0.0661515,0.6791843,0.9763276,"     ",""
"S g12 c1 a21 t9",0.5264455,0.1846415,0.2065629,0.8259987,"     ",""
"S g13 c1 a25 t12",0.7258442,0.1030777,0.4895947,0.8796272,"     ",""
"S g17 c1 a25 t8",0.9569964,0.0292773,0.8465984,0.9889789,"     ",""
"S g21 c1 a25 t4",0.9026557,0.0500702,0.7521694,0.9659064,"     ",""
"S g59 c1 a73 t12",0.5475115,0.3674955,0.0619895,0.9568117,"     ",""
"S g63 c1 a73 t5",0.910479,0.1132156,0.4005918,0.9935806,"     ",""
"S g64 c1 a73 t3",0.809084,0.2224472,0.2012474,0.9861654,"     ",""
"r g17 c1 a25 t8",0.2755154,0.1882122,0.0565226,0.707091,"     ",""
"r g63 c1 a73 t5",3.013216e-08,0.0005367169,1.67615698173527e-316,1,"     ",""
"R g12 c1 a13 t1",0.0342273,0.0137349,0.0154543,0.0740889,"     ",""
"R g12 c1 a17 t5",0.0439891,0.0172536,0.0201743,0.0932406,"     ",""
"R g12 c1 a21 t9",0.0256513,0.0143401,0.0084782,0.0749791,"     ",""
"R g13 c1 a25 t12",0.0263752,0.0110036,0.0115614,0.0590365,"     ",""
"R g17 c1 a25 t8",0.0452065,0.0077137,0.0322789,0.0629746,"     ",""
"R g21 c1 a25 t4",0.0351845,0.0081507,0.0222713,0.0551627,"     ",""
"R g59 c1 a73 t12",0.0205591,0.0196264,0.0030976,0.1241915,"     ",""
"R g63 c1 a73 t5",0.0353888,0.0294077,0.006734,0.1656418,"     ",""
"R g64 c1 a73 t3",0.0274807,0.0236622,0.0049581,0.1381121,"     ",""
"p g12 c1 a14 t2",0,0,0,0,"Fixed",""
"r g12 c1 a13 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a13 t1",1,0,1,1,"Fixed",""
