"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3653415.57225765,2497927.86548851,322984,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3500193.33527502,2405147.6264777,106705,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,2e-04,3e-04,1000,757,12,10,25,2,36,218,1000,0,757
4,3583892.34335204,2422093.69035629,151806,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,4e-04,6e-04,2000,1466,46,25,76,21,117,222,1000,3,1466
5,3535374.47810565,2397798.09185058,210110,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,4e-04,6e-04,2000,1405,45,26,102,19,139,0,0,4,1405
6,3508177.0374321,2361676.66478368,262053,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,4e-04,6e-04,2000,1321,61,27,116,34,169,0,0,3,1321
7,3356815.16875566,2282833.16859597,395245,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,4e-04,5e-04,2000,1220,81,43,115,38,187,0,0,9,1220
8,3132782.03561212,2149669.19586587,155043,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,4e-04,5e-04,2000,1165,29,16,64,13,90,0,0,2,1165
9,3008671.67755825,2098038.06945858,80645,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,4e-04,5e-04,2000,1135,13,7,37,6,49,0,0,0,1135
10,2920069.14901168,2070792.23639569,39662,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,4e-04,5e-04,2000,1111,6,5,25,1,31,0,0,1,1111
11,2853663.78474543,2056438.55985054,41498,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,4e-04,5e-04,2000,1091,10,5,20,5,30,0,0,2,1091
12,2788274.43220421,2038598.3992312,130687,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,4e-04,5e-04,2000,1046,23,8,59,15,79,0,0,3,1046
