"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3640806.59495173,2494927.63351731,322596,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3483990.30219496,2400906.06965766,106517,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,1e-04,1e-04,250,185,3,1,10,2,13,59,250,0,185
4,3535073.26728172,2409602.6835432,151024,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,1e-04,2e-04,500,367,3,2,9,1,12,58,250,0,367
5,3480573.26789812,2382407.46308122,208763,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,1e-04,1e-04,500,335,16,6,21,10,34,0,0,1,335
6,3409587.59198484,2334272.44102103,259013,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,1e-04,1e-04,500,315,16,8,29,8,44,0,0,3,315
7,3279026.60175949,2257523.7825527,390864,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,1e-04,1e-04,500,289,25,18,28,7,51,0,0,3,289
8,3053367.95803015,2121974.57286711,153046,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,1e-04,1e-04,500,280,7,5,14,2,20,0,0,0,280
9,2930678.58101489,2068559.74368216,79513,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,1e-04,1e-04,500,275,3,2,15,1,17,0,0,0,275
10,2844604.1406979,2039836.35666157,39068,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,1e-04,1e-04,500,271,1,0,6,1,7,0,0,0,271
11,2780188.86742489,2023960.67337786,40843,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,1e-04,1e-04,500,267,2,0,5,2,6,0,0,0,267
12,2716760.63533265,2004710.3745925,128517,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,1e-04,1e-04,500,253,11,6,7,5,20,0,0,2,253
