"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.001,0.0015,5515,3958,173,98,331,75,12,1311,5515,17,3958
2,3638155.19159462,2494296.74768672,322515,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0033,11964,8351,403,214,768,189,34,1506,6449,67,8351
3,3465682.88787204,2396468.70448832,106321,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14089,9598,178,97,330,81,9,522,2125,10,9598
4,3447650.75423682,2388156.15220622,149681,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17082,11440,278,144,593,134,19,704,2993,23,11440
5,3418514.45427028,2364320.17707334,207179,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.0041,0.0059,21223,13923,517,256,954,261,33,910,4141,56,13923
6,3384502.3525041,2323202.31465936,257786,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.005,0.0072,26377,16841,788,405,1437,383,47,1195,5154,100,16841
7,3242197.17578252,2243109.45585392,388368,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0065,0.0094,34142,21021,1497,932,2093,565,82,1755,7765,169,21021
8,3017765.58285057,2107047.59207254,151972,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0074,0.0106,37179,22296,707,386,1276,321,40,738,3037,63,22296
9,2898054.89145921,2053485.23440837,78934,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0079,0.0111,38756,22817,354,195,733,159,24,372,1577,17,22817
10,2812859.27739583,2024182.76928741,38770,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.0081,0.0113,39529,22900,177,87,360,90,11,166,773,4,22900
11,2749270.16058635,2007731.70131967,40518,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0084,0.0115,40337,23016,177,111,383,66,16,203,808,10,23016
12,2686637.60280501,1987953.71794582,127444,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0089,0.0121,42884,24000,632,323,1245,309,37,599,2547,46,24000
