"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8828181,0.0268047,0.8192895,0.9260296,"     ",""
"S g12 c1 a16 t5",0.9695298,0.0107384,0.939778,0.9848205,"     ",""
"S g12 c1 a20 t9",0.7593072,0.0527148,0.6418832,0.8473831,"     ",""
"S g14 c1 a25 t12",0.772333,0.0291356,0.7102837,0.8243789,"     ",""
"S g18 c1 a25 t8",0.9716042,0.009117,0.9471012,0.9849378,"     ",""
"S g22 c1 a25 t4",0.890127,0.0145785,0.8581339,0.9156146,"     ",""
"S g62 c1 a73 t12",0.7864365,0.1594425,0.3642204,0.9594665,"     ",""
"S g66 c1 a73 t8",0.9737823,0.0268388,0.8255342,0.9965818,"     ",""
"S g70 c1 a73 t4",0.897898,0.0888674,0.5681127,0.9832755,"     ",""
"r g18 c1 a25 t8",0.8213172,0.2607088,0.1238336,0.9933549,"     ",""
"r g66 c1 a73 t8",0.1873336,0.2086491,0.0154638,0.771854,"     ",""
"R g12 c1 a12 t1",0.0423093,0.0055184,0.0327214,0.0545481,"     ",""
"R g12 c1 a16 t5",0.0549369,0.0064735,0.0435446,0.0690944,"     ",""
"R g12 c1 a20 t9",0.0283747,0.0048068,0.0203283,0.0394777,"     ",""
"R g14 c1 a25 t12",0.0334382,0.0041589,0.0261793,0.0426217,"     ",""
"R g18 c1 a25 t8",0.0644261,0.0036028,0.0577149,0.0718583,"     ",""
"R g22 c1 a25 t4",0.0497321,0.0041954,0.0421244,0.0586296,"     ",""
"R g62 c1 a73 t12",0.0175625,0.0065621,0.0084116,0.0363043,"     ",""
"R g66 c1 a73 t8",0.0343612,0.0119078,0.0173056,0.0670786,"     ",""
"R g70 c1 a73 t4",0.0263312,0.0092869,0.0131215,0.0521368,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
