"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8796336,0.0301339,0.8070776,0.9273581,"     ",""
"S g12 c1 a16 t5",0.9298151,0.0205783,0.8771594,0.9609058,"     ",""
"S g12 c1 a20 t9",0.6739855,0.0664751,0.5332766,0.7890536,"     ",""
"S g14 c1 a25 t12",0.7683221,0.032901,0.6977458,0.8265162,"     ",""
"S g18 c1 a25 t8",0.95506,0.0128882,0.9218603,0.9745435,"     ",""
"S g22 c1 a25 t4",0.9214027,0.0165304,0.8822773,0.9482868,"     ",""
"S g62 c1 a73 t12",0.7406513,0.1157452,0.467129,0.9029453,"     ",""
"S g66 c1 a73 t8",0.9481886,0.0301684,0.8459687,0.983866,"     ",""
"S g70 c1 a73 t4",0.9098705,0.0491325,0.7572674,0.970297,"     ",""
"r g18 c1 a25 t8",0.428076,0.1231441,0.2183079,0.6673322,"     ",""
"r g66 c1 a73 t8",0.3390243,0.2517429,0.0536799,0.8226275,"     ",""
"R g12 c1 a12 t1",0.0434112,0.0072864,0.0311721,0.0601575,"     ",""
"R g12 c1 a16 t5",0.0546293,0.0085618,0.0400812,0.0740504,"     ",""
"R g12 c1 a20 t9",0.02809,0.0061624,0.0182304,0.0430482,"     ",""
"R g14 c1 a25 t12",0.0321969,0.0051225,0.023537,0.0438998,"     ",""
"R g18 c1 a25 t8",0.0623673,0.004598,0.0539403,0.0720107,"     ",""
"R g22 c1 a25 t4",0.0496438,0.0052788,0.0402614,0.0610734,"     ",""
"R g62 c1 a73 t12",0.0255509,0.008968,0.0127781,0.0504392,"     ",""
"R g66 c1 a73 t8",0.0498142,0.0155228,0.0268274,0.0906623,"     ",""
"R g70 c1 a73 t4",0.0395436,0.0129269,0.0206918,0.0742684,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
