"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1954,0,0,0,0,0.0016,0.0023,8270,6040,235,132,455,103,17,1910,8270,31,6040
2,3636339.1410978,2493864.62915485,322459,0.129253367294227,0.0645180510234625,61247,1837,NA,0,NA,0,0.0034,0.005,17939,12535,658,340,1211,318,61,2293,9669,91,12535
3,3434215.17780364,2388925.53686638,105987,0.0443194499071432,0.0221224761126094,44701,1341,NA,0,NA,0,0.0042,0.006,21116,14452,277,152,432,125,22,756,3177,12,14452
4,3451412.69074359,2388023.96557629,149673,0.0626314263710158,0.0312630738128393,86829,2605,NA,0,NA,0,0.005,0.0072,25604,17168,417,230,811,187,35,1068,4488,28,17168
5,3625057.33756245,2412590.85409969,211406,0.0875700411128721,0.0437114212102957,119947,3598,NA,0,NA,0,0.0058,0.0087,31942,20931,763,403,1380,360,72,1464,6338,68,20931
6,3539990.31435293,2365715.76403555,262501,0.110908941206503,0.0553612557840029,138537,4156,NA,0,NA,0,0.0072,0.0107,39814,25341,1191,611,2129,580,83,1846,7872,144,25341
7,3398566.36436531,2290374.2601036,396549,0.173083137986633,0.0863960990857792,226157,6785,NA,0,NA,0,0.0093,0.0138,51708,31703,2343,1547,3103,796,173,2671,11894,305,31703
8,3179068.11370428,2159726.61436482,155768,0.0720709170542172,0.035974885615374,99605,2988,NA,0,NA,0,0.0106,0.0156,56378,33783,1036,576,1893,460,95,1061,4670,83,33783
9,3050753.19938231,2108566.03122051,81050,0.0383839669878841,0.019159723204502,66288,1989,NA,0,NA,0,0.0113,0.0164,58807,34608,580,318,1113,262,42,547,2429,32,34608
10,2960849.434748,2082298.63438237,39879,0.019084869960835,0.00952639486061806,38846,1165,NA,0,NA,0,0.0117,0.0167,59999,34701,278,148,526,130,20,310,1192,14,34701
11,2893240.50312194,2068881.52024301,41748,0.0201171945934056,0.0100416895466385,43409,1302,NA,0,NA,0,0.012,0.0168,61248,34858,292,168,543,124,23,296,1249,13,34858
12,2826738.15563081,2051936.36292292,131542,0.0640543179895995,0.0319733237349142,63366,1901,NA,0,NA,0,0.0129,0.0177,65192,36395,1024,507,1850,517,88,893,3944,78,36395
