"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9011971,0.0568984,0.7227472,0.9696184,"     ",""
"S g12 c1 a16 t5",0.9729234,0.0236191,0.8610854,0.995222,"     ",""
"S g12 c1 a20 t9",0.7970278,0.107023,0.5177847,0.9348974,"     ",""
"S g14 c1 a25 t12",0.7750154,0.0523425,0.6566689,0.861191,"     ",""
"S g18 c1 a25 t8",0.969251,0.0194575,0.8976207,0.9912531,"     ",""
"S g22 c1 a25 t4",0.8889072,0.0350899,0.7994992,0.9413698,"     ",""
"S g62 c1 a73 t12",0.9309879,0.0788904,0.5486765,0.9933641,"     ",""
"S g66 c1 a73 t8",0.9919642,0.0081958,0.9427055,0.9989214,"     ",""
"S g70 c1 a73 t4",0.9690739,0.037876,0.7246547,0.9973268,"     ",""
"r g18 c1 a25 t8",0.3707966,0.2345621,0.0759038,0.8087251,"     ",""
"r g66 c1 a73 t8",0.9999937,0.0083669,8.843591e-304,1,"     ",""
"R g12 c1 a12 t1",0.0155602,0.0049234,0.0083482,0.0288216,"     ",""
"R g12 c1 a16 t5",0.0250745,0.0072799,0.0141444,0.0440733,"     ",""
"R g12 c1 a20 t9",0.0114569,0.0043218,0.005456,0.0238994,"     ",""
"R g14 c1 a25 t12",0.0181379,0.0045358,0.011089,0.0295336,"     ",""
"R g18 c1 a25 t8",0.03938,0.0046644,0.0311894,0.0496114,"     ",""
"R g22 c1 a25 t4",0.0245745,0.0047761,0.0167627,0.0358939,"     ",""
"R g62 c1 a73 t12",0.0095877,0.0052155,0.0032881,0.0276221,"     ",""
"R g66 c1 a73 t8",0.0210309,0.0107482,0.0076626,0.0563965,"     ",""
"R g70 c1 a73 t4",0.0130304,0.0071541,0.0044179,0.0377954,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
