"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.8158924,0.0848818,0.5941637,0.9306243,"     ",""
"S g12 c1 a18 t5",0.9125685,0.0552849,0.7285575,0.9759552,"     ",""
"S g12 c1 a22 t9",0.7497905,0.13038,0.4342212,0.9212636,"     ",""
"S g12 c1 a25 t12",0.8586736,0.0486734,0.7346186,0.9302444,"     ",""
"S g17 c1 a25 t8",0.9548786,0.0303537,0.8417636,0.9882612,"     ",""
"S g21 c1 a25 t4",0.8998522,0.0332713,0.8133551,0.9487878,"     ",""
"S g61 c1 a73 t12",0.6110451,0.2277783,0.1936093,0.9113427,"     ",""
"S g65 c1 a73 t8",0.8454849,0.1251534,0.4556013,0.972809,"     ",""
"S g69 c1 a73 t4",0.6990912,0.1886906,0.285957,0.9309291,"     ",""
"r g17 c1 a25 t8",0.2993949,0.1929337,0.0658058,0.7216407,"     ",""
"r g65 c1 a73 t8",1.54027e-08,2.794747e-05,8.56803801174561e-317,1,"     ",""
"R g12 c1 a14 t1",0.0165454,0.0062948,0.0078201,0.0346657,"     ",""
"R g12 c1 a18 t5",0.0267489,0.0096122,0.0131534,0.053633,"     ",""
"R g12 c1 a22 t9",0.012808,0.0056775,0.0053522,0.0303334,"     ",""
"R g12 c1 a25 t12",0.017866,0.0046301,0.010729,0.0296084,"     ",""
"R g17 c1 a25 t8",0.0371053,0.0051459,0.028237,0.0486194,"     ",""
"R g21 c1 a25 t4",0.0230448,0.004556,0.0156172,0.0338834,"     ",""
"R g61 c1 a73 t12",0.0176248,0.0151686,0.0032116,0.0908291,"     ",""
"R g65 c1 a73 t8",0.0366141,0.0298418,0.0071875,0.1663334,"     ",""
"R g69 c1 a73 t4",0.0227353,0.0190406,0.0043186,0.1109407,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
