"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3650511.1297127,2497236.7704718,322895,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3471188.80559083,2398157.2298744,106396,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,3e-04,5e-04,1500,1096,17,13,42,4,56,363,1500,2,1096
4,3552232.93044448,2413577.22349813,151273,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,6e-04,9e-04,3000,2193,68,36,104,32,167,305,1500,4,2193
5,3521384.74097811,2392543.48047118,209650,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,6e-04,9e-04,3000,2099,75,32,128,43,190,0,0,4,2099
6,3459810.82911463,2347887.12897611,260524,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,6e-04,8e-04,3000,1947,117,60,168,57,278,0,0,15,1947
7,3347488.2088987,2276948.4047649,394226,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,5e-04,8e-04,3000,1805,118,75,176,43,279,0,0,17,1805
8,3120948.83419408,2143108.36307356,154571,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,6e-04,8e-04,3000,1730,54,28,89,26,129,0,0,3,1730
9,2998358.40906153,2091614.0383118,80399,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,6e-04,8e-04,3000,1671,27,13,57,14,82,0,0,0,1671
10,2910301.94251828,2064300.44205542,39537,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,6e-04,8e-04,3000,1639,11,5,15,6,24,0,0,0,1639
11,2844078.27851907,2049796.91222287,41364,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,6e-04,8e-04,3000,1607,9,7,35,2,42,0,0,0,1607
12,2778910.73844984,2031829.79086887,130254,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,6e-04,8e-04,3000,1541,44,20,71,24,114,0,0,7,1541
