"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3632436.81084351,2492936.09262829,322339,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3454786.95716495,2393700.98843877,106198,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,3e-04,5e-04,1500,1137,21,13,33,8,51,330,1500,2,1137
4,3396392.52514662,2375453.07100122,148885,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,6e-04,9e-04,3000,2177,59,31,91,28,144,365,1500,4,2177
5,3538474.63800525,2390793.03451821,209496,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,6e-04,9e-04,3000,2081,66,40,136,26,184,0,0,7,2081
6,3481996.0223789,2348102.27831867,260547,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,6e-04,8e-04,3000,1957,96,52,186,44,273,0,0,9,1957
7,3314337.69581566,2264900.06910749,392139,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,5e-04,8e-04,3000,1796,132,86,199,46,317,0,0,13,1796
8,3125358.11353026,2139239.58384096,154292,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,5e-04,8e-04,3000,1709,65,41,98,24,158,0,0,9,1709
9,2999742.5970733,2087350.19312452,80234,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,5e-04,8e-04,3000,1645,34,18,54,16,89,0,0,4,1645
10,2911205.48220377,2060104.1229162,39457,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,6e-04,8e-04,3000,1609,8,4,33,4,37,0,0,1,1609
11,2844909.54118403,2045730.73263779,41281,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,6e-04,8e-04,3000,1575,18,9,34,9,52,0,0,0,1575
12,2779668.67416707,2027896.58307011,130004,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,5e-04,7e-04,3000,1508,43,28,90,15,130,0,0,4,1508
