"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8641284,0.0332781,0.7849046,0.9172489,"     ",""
"S g12 c1 a16 t5",0.9694343,0.0119731,0.9349212,0.9859198,"     ",""
"S g12 c1 a20 t9",0.7686103,0.0516852,0.6526886,0.854468,"     ",""
"S g14 c1 a25 t12",0.7707327,0.0314697,0.7033685,0.8265707,"     ",""
"S g18 c1 a25 t8",0.969787,0.0110077,0.9389151,0.9853007,"     ",""
"S g22 c1 a25 t4",0.865528,0.0230194,0.8137155,0.9046187,"     ",""
"S g62 c1 a73 t12",0.8720728,0.102144,0.5311772,0.9761993,"     ",""
"S g66 c1 a73 t8",0.984869,0.0149315,0.901312,0.9978489,"     ",""
"S g70 c1 a73 t4",0.9288358,0.0616913,0.676923,0.9878502,"     ",""
"r g18 c1 a25 t8",0.355526,0.1300839,0.1534754,0.626663,"     ",""
"r g66 c1 a73 t8",0.1661535,0.2221068,0.0085329,0.8218569,"     ",""
"R g12 c1 a12 t1",0.0170472,0.0029571,0.012123,0.0239233,"     ",""
"R g12 c1 a16 t5",0.0270701,0.0041744,0.019986,0.0365715,"     ",""
"R g12 c1 a20 t9",0.0127159,0.0026074,0.0084998,0.0189832,"     ",""
"R g14 c1 a25 t12",0.0203943,0.0029883,0.0152913,0.0271534,"     ",""
"R g18 c1 a25 t8",0.0430384,0.0030632,0.0374187,0.0494586,"     ",""
"R g22 c1 a25 t4",0.0272689,0.0030185,0.021937,0.0338519,"     ",""
"R g62 c1 a73 t12",0.0095388,0.0033449,0.0047886,0.0189116,"     ",""
"R g66 c1 a73 t8",0.0203807,0.0067131,0.0106487,0.0386591,"     ",""
"R g70 c1 a73 t4",0.012802,0.0044058,0.0065058,0.0250382,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
