"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8114352,0.0525496,0.6870178,0.8940232,"     ",""
"S g12 c1 a16 t5",0.9085078,0.0329372,0.8203752,0.9557317,"     ",""
"S g12 c1 a20 t9",0.6741725,0.09,0.4810274,0.8220301,"     ",""
"S g14 c1 a25 t12",0.7868813,0.0455628,0.6843226,0.8628005,"     ",""
"S g18 c1 a25 t8",0.9465795,0.0198543,0.8913975,0.9745243,"     ",""
"S g22 c1 a25 t4",0.8847777,0.030267,0.8110066,0.9321619,"     ",""
"S g62 c1 a73 t12",0.9999999,9.890804e-05,1.065099e-301,1,"     ",""
"S g66 c1 a73 t8",1,2.060964e-05,0.9999596,1.0000404,"     ",""
"S g70 c1 a73 t3",1,4.755778e-05,2.215134e-301,1,"     ",""
"r g18 c1 a25 t8",0.1785002,0.067756,0.0807511,0.3495772,"     ",""
"r g66 c1 a73 t8",7.262513e-06,0,7.262513e-06,7.262513e-06,"     ",""
"R g12 c1 a12 t1",0.0196709,0.0049231,0.0120195,0.032035,"     ",""
"R g12 c1 a16 t5",0.0334576,0.007642,0.0213186,0.0521404,"     ",""
"R g12 c1 a20 t9",0.0159023,0.0049509,0.0086173,0.0291647,"     ",""
"R g14 c1 a25 t12",0.0184948,0.0040965,0.0119629,0.0284904,"     ",""
"R g18 c1 a25 t8",0.0387995,0.0042639,0.0312536,0.0480768,"     ",""
"R g22 c1 a25 t4",0.0228636,0.0038179,0.0164632,0.0316722,"     ",""
"R g62 c1 a73 t12",0.0111322,0.004047,0.0054467,0.0226174,"     ",""
"R g66 c1 a73 t8",0.0235477,0.0079657,0.0120816,0.0453956,"     ",""
"R g70 c1 a73 t3",0.0137862,0.0051511,0.0066084,0.0285362,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
