"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8949739,0.0200903,0.8485999,0.9283429,"     ",""
"S g12 c1 a16 t5",0.9409376,0.0129261,0.9098988,0.9617336,"     ",""
"S g12 c1 a20 t9",0.743886,0.0434069,0.6501527,0.8194788,"     ",""
"S g14 c1 a25 t12",0.793504,0.0248716,0.7405192,0.8380358,"     ",""
"S g18 c1 a25 t8",0.9547045,0.0097026,0.9314022,0.9703432,"     ",""
"S g22 c1 a25 t4",0.9185268,0.0123828,0.8907263,0.9397331,"     ",""
"S g62 c1 a73 t12",0.7817204,0.0822297,0.5820467,0.9020541,"     ",""
"S g66 c1 a73 t8",0.9515582,0.0236445,0.8778641,0.9817132,"     ",""
"S g70 c1 a73 t4",0.9130963,0.0396955,0.7976309,0.965528,"     ",""
"r g18 c1 a25 t8",0.4705997,0.0997354,0.2885626,0.660809,"     ",""
"r g66 c1 a73 t8",0.0574013,0.0617138,0.0064696,0.3628541,"     ",""
"R g12 c1 a12 t1",0.0323309,0.0040197,0.0253157,0.0412081,"     ",""
"R g12 c1 a16 t5",0.0538623,0.0058368,0.0435032,0.0665165,"     ",""
"R g12 c1 a20 t9",0.0214824,0.0033624,0.0157923,0.029162,"     ",""
"R g14 c1 a25 t12",0.028256,0.0033269,0.0224169,0.0355607,"     ",""
"R g18 c1 a25 t8",0.0701138,0.0035864,0.0634021,0.0774773,"     ",""
"R g22 c1 a25 t4",0.042377,0.0034785,0.0360596,0.0497439,"     ",""
"R g62 c1 a73 t12",0.0132577,0.0038778,0.0074593,0.0234572,"     ",""
"R g66 c1 a73 t8",0.0336673,0.0091146,0.0197222,0.0569004,"     ",""
"R g70 c1 a73 t4",0.0200379,0.0056723,0.0114747,0.0347668,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
