"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8829503,0.0215196,0.8337658,0.9189962,"     ",""
"S g12 c1 a16 t5",0.940873,0.0129917,0.9096523,0.9617586,"     ",""
"S g12 c1 a20 t9",0.7409249,0.0455394,0.6423989,0.819915,"     ",""
"S g14 c1 a25 t12",0.7952482,0.0246976,0.7426076,0.8394505,"     ",""
"S g18 c1 a25 t8",0.9557734,0.0095458,0.9328037,0.9711344,"     ",""
"S g22 c1 a25 t4",0.911068,0.0126011,0.8830791,0.9328661,"     ",""
"S g62 c1 a73 t12",0.9401099,0.1253108,0.1667596,0.9991884,"     ",""
"S g66 c1 a73 t8",0.9886803,0.0246994,0.5359838,0.9998486,"     ",""
"S g70 c1 a73 t4",0.9764173,0.0507402,0.3553551,0.9996785,"     ",""
"r g18 c1 a25 t8",0.4414445,0.0949235,0.2709416,0.6269717,"     ",""
"r g66 c1 a73 t8",0.5473933,1.1766679,0.0001095997,0.9999251,"     ",""
"R g12 c1 a12 t1",0.0334483,0.0043178,0.0259446,0.0430263,"     ",""
"R g12 c1 a16 t5",0.0498723,0.0057491,0.0397366,0.0624251,"     ",""
"R g12 c1 a20 t9",0.0253849,0.0040188,0.0185918,0.0345727,"     ",""
"R g14 c1 a25 t12",0.0330364,0.0037078,0.0264925,0.0411286,"     ",""
"R g18 c1 a25 t8",0.0644169,0.0033923,0.0580789,0.0713941,"     ",""
"R g22 c1 a25 t4",0.043422,0.0035344,0.0369987,0.0509015,"     ",""
"R g62 c1 a73 t12",0.0166426,0.005176,0.0090231,0.0304983,"     ",""
"R g66 c1 a73 t8",0.0329821,0.0092114,0.0189965,0.0566694,"     ",""
"R g70 c1 a73 t4",0.0219917,0.0064063,0.0123869,0.0387518,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
