"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8779356,0.0247498,0.8205916,0.9187653,"     ",""
"S g12 c1 a16 t5",0.9434179,0.0143517,0.9077829,0.9658014,"     ",""
"S g12 c1 a20 t9",0.7474332,0.0475919,0.6435579,0.8290767,"     ",""
"S g14 c1 a25 t12",0.8047337,0.0265317,0.7474792,0.8515844,"     ",""
"S g18 c1 a25 t8",0.958711,0.0100888,0.9337299,0.9745321,"     ",""
"S g22 c1 a25 t4",0.9092245,0.0149311,0.875406,0.93455,"     ",""
"S g62 c1 a73 t12",0.8106211,0.0978105,0.551134,0.9371946,"     ",""
"S g66 c1 a73 t8",0.9601856,0.0265234,0.8609321,0.9894679,"     ",""
"S g70 c1 a73 t4",0.9123048,0.0530621,0.739267,0.9744703,"     ",""
"r g18 c1 a25 t8",0.5423317,0.1310534,0.2962659,0.7693438,"     ",""
"r g66 c1 a73 t8",1.051697e-08,0,1.051697e-08,1.051697e-08,"     ",""
"R g12 c1 a12 t1",0.0312248,0.0044845,0.0235364,0.0413185,"     ",""
"R g12 c1 a16 t5",0.0503674,0.0063805,0.0392339,0.0644485,"     ",""
"R g12 c1 a20 t9",0.0217575,0.003817,0.0154086,0.030641,"     ",""
"R g14 c1 a25 t12",0.0276556,0.0034972,0.0215671,0.0354007,"     ",""
"R g18 c1 a25 t8",0.0635176,0.0036942,0.0566502,0.0711546,"     ",""
"R g22 c1 a25 t4",0.0395855,0.0037001,0.0329372,0.0475097,"     ",""
"R g62 c1 a73 t12",0.0167069,0.0053271,0.0089186,0.0310832,"     ",""
"R g66 c1 a73 t8",0.0389399,0.0115223,0.0216793,0.0689742,"     ",""
"R g70 c1 a73 t4",0.0240305,0.0074454,0.0130436,0.0438607,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
