"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8832722,0.0213947,0.8343906,0.9191243,"     ",""
"S g12 c1 a16 t5",0.9283295,0.0144158,0.8944134,0.9519367,"     ",""
"S g12 c1 a20 t9",0.6966335,0.0480905,0.595153,0.7819943,"     ",""
"S g14 c1 a25 t12",0.7861899,0.0262685,0.7302356,0.8331894,"     ",""
"S g18 c1 a25 t8",0.9540034,0.0091649,0.9323106,0.9689756,"     ",""
"S g22 c1 a25 t4",0.9237611,0.0121086,0.8963762,0.9443581,"     ",""
"S g62 c1 a73 t12",0.8314569,0.0881779,0.5896933,0.9442376,"     ",""
"S g66 c1 a73 t8",0.9653093,0.022022,0.8846308,0.9901942,"     ",""
"S g70 c1 a73 t4",0.942049,0.035366,0.8203529,0.9830131,"     ",""
"r g18 c1 a25 t8",0.4301951,0.0859914,0.2751539,0.6002528,"     ",""
"r g66 c1 a73 t8",0.3915695,0.2679651,0.0662829,0.8536853,"     ",""
"R g12 c1 a12 t1",0.0366531,0.0044836,0.0288102,0.0465288,"     ",""
"R g12 c1 a16 t5",0.05347,0.0058746,0.0430583,0.0662251,"     ",""
"R g12 c1 a20 t9",0.0237825,0.0037694,0.0174134,0.0324044,"     ",""
"R g14 c1 a25 t12",0.0308334,0.0036395,0.0244456,0.0388239,"     ",""
"R g18 c1 a25 t8",0.068703,0.0035007,0.0621509,0.07589,"     ",""
"R g22 c1 a25 t4",0.0473348,0.0036782,0.0406253,0.0550887,"     ",""
"R g62 c1 a73 t12",0.0128258,0.0036499,0.0073302,0.0223488,"     ",""
"R g66 c1 a73 t8",0.0292459,0.0076967,0.0174007,0.0487545,"     ",""
"R g70 c1 a73 t4",0.0198877,0.0054345,0.0116122,0.0338588,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
