"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8717342,0.032482,0.7936384,0.9231376,"     ",""
"S g12 c1 a16 t5",0.9160859,0.0237711,0.8562184,0.9524113,"     ",""
"S g12 c1 a20 t9",0.6638751,0.068683,0.5193234,0.7831113,"     ",""
"S g14 c1 a25 t12",0.782281,0.0337658,0.7089798,0.8412533,"     ",""
"S g18 c1 a25 t8",0.9520616,0.0145364,0.9140762,0.9737368,"     ",""
"S g22 c1 a25 t4",0.9251713,0.0179372,0.8815242,0.9535852,"     ",""
"S g62 c1 a73 t12",0.6408815,0.1468174,0.3382463,0.8617025,"     ",""
"S g66 c1 a73 t8",0.9079533,0.0542985,0.7340905,0.9724098,"     ",""
"S g70 c1 a73 t4",0.8599604,0.0780206,0.6330117,0.9562598,"     ",""
"r g18 c1 a25 t8",0.207447,0.0622239,0.1108421,0.3546643,"     ",""
"r g66 c1 a73 t8",0.1142036,0.0746645,0.0294511,0.3539143,"     ",""
"R g12 c1 a12 t1",0.0137607,0.0026598,0.0094129,0.0200761,"     ",""
"R g12 c1 a16 t5",0.0237021,0.0042115,0.0167096,0.0335211,"     ",""
"R g12 c1 a20 t9",0.0120976,0.0027909,0.0076887,0.0189863,"     ",""
"R g14 c1 a25 t12",0.0210981,0.0033126,0.0154951,0.0286683,"     ",""
"R g18 c1 a25 t8",0.0409783,0.0030076,0.0354727,0.0472964,"     ",""
"R g22 c1 a25 t4",0.0239686,0.0026928,0.0192207,0.0298537,"     ",""
"R g62 c1 a73 t12",0.0131528,0.0055039,0.0057717,0.0296911,"     ",""
"R g66 c1 a73 t8",0.0257431,0.0099142,0.0120295,0.0542319,"     ",""
"R g70 c1 a73 t4",0.0149588,0.0059645,0.006822,0.0324832,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
