"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8736992,0.024154,0.8183264,0.9139691,"     ",""
"S g12 c1 a16 t5",0.9391132,0.0143852,0.9040298,0.9619116,"     ",""
"S g12 c1 a20 t9",0.6694744,0.052624,0.5596361,0.7634941,"     ",""
"S g14 c1 a25 t12",0.7763832,0.0263353,0.7205919,0.8237589,"     ",""
"S g18 c1 a25 t8",0.9635549,0.0086988,0.9420956,0.9772534,"     ",""
"S g22 c1 a25 t4",0.9222253,0.0122878,0.8944659,0.9431471,"     ",""
"S g62 c1 a73 t12",0.7221749,0.0973998,0.5009485,0.8706544,"     ",""
"S g66 c1 a73 t8",0.9519095,0.0250288,0.8714413,0.9829935,"     ",""
"S g70 c1 a73 t4",0.8987613,0.0470561,0.7631274,0.9607277,"     ",""
"r g18 c1 a25 t8",0.6364098,0.1509264,0.3277012,0.8627395,"     ",""
"r g66 c1 a73 t8",0.0618661,0.0669924,0.0068184,0.3878054,"     ",""
"R g12 c1 a12 t1",0.0372357,0.0051186,0.0284046,0.0486749,"     ",""
"R g12 c1 a16 t5",0.0552835,0.0068357,0.0433163,0.0703139,"     ",""
"R g12 c1 a20 t9",0.0264523,0.0045549,0.0188489,0.0370071,"     ",""
"R g14 c1 a25 t12",0.0307342,0.0037785,0.0241325,0.0390697,"     ",""
"R g18 c1 a25 t8",0.0639261,0.0034817,0.0574319,0.0710991,"     ",""
"R g22 c1 a25 t4",0.0431858,0.0038037,0.0363154,0.0512868,"     ",""
"R g62 c1 a73 t12",0.0153426,0.0048599,0.0082261,0.0284391,"     ",""
"R g66 c1 a73 t8",0.0324688,0.0096096,0.0180921,0.0575998,"     ",""
"R g70 c1 a73 t4",0.021698,0.0066625,0.0118469,0.039414,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
