"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.8486887,0.0843512,0.6075228,0.9531042,"     ",""
"S g12 c1 a18 t5",0.9659022,0.0344521,0.7847485,0.9954772,"     ",""
"S g12 c1 a22 t9",0.7393914,0.1542753,0.3713494,0.931633,"     ",""
"S g12 c1 a25 t12",0.8098075,0.0654579,0.6492544,0.9073547,"     ",""
"S g17 c1 a25 t8",0.9770177,0.0208845,0.8728933,0.9962145,"     ",""
"S g21 c1 a25 t4",0.893814,0.0300487,0.819027,0.9399608,"     ",""
"S g58 c1 a73 t12",0.6050865,0.1982399,0.2315958,0.8862234,"     ",""
"S g61 c1 a73 t8",0.938643,0.0757228,0.537605,0.9950566,"     ",""
"S g63 c1 a73 t2",0.7518028,0.1628173,0.3538898,0.9436666,"     ",""
"r g17 c1 a25 t8",0.9240085,0.8287599,1.091704e-09,1,"     ",""
"r g61 c1 a73 t8",0.3436529,0.4070905,0.0150009,0.9473707,"     ",""
"R g12 c1 a14 t1",0.0464591,0.0152438,0.0242203,0.0872905,"     ",""
"R g12 c1 a18 t5",0.0551222,0.0174721,0.0293405,0.1011966,"     ",""
"R g12 c1 a22 t9",0.0234397,0.0102664,0.0098667,0.0546537,"     ",""
"R g12 c1 a25 t12",0.0282874,0.0080721,0.0161075,0.0492168,"     ",""
"R g17 c1 a25 t8",0.0660791,0.0080702,0.0519144,0.0837672,"     ",""
"R g21 c1 a25 t4",0.0557957,0.0099239,0.0392465,0.0787512,"     ",""
"R g58 c1 a73 t12",0.0234531,0.0149213,0.0066534,0.0792862,"     ",""
"R g61 c1 a73 t8",0.0551528,0.0317714,0.0173629,0.1616599,"     ",""
"R g63 c1 a73 t2",0.0464851,0.0270634,0.0145177,0.13892,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
