"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8587648,0.0366052,0.7709233,0.9165681,"     ",""
"S g12 c1 a16 t5",0.9307599,0.0216074,0.874492,0.9628727,"     ",""
"S g12 c1 a20 t9",0.7827673,0.0508768,0.6671747,0.8662613,"     ",""
"S g14 c1 a25 t12",0.8458855,0.0308061,0.7754807,0.897141,"     ",""
"S g18 c1 a25 t8",0.9534359,0.0137708,0.9176839,0.9740982,"     ",""
"S g22 c1 a25 t4",0.9025505,0.0207907,0.8535323,0.9363864,"     ",""
"S g62 c1 a73 t12",0.6878745,0.1115391,0.4432391,0.8591719,"     ",""
"S g66 c1 a73 t8",0.8915581,0.0586897,0.7144231,0.9643102,"     ",""
"S g70 c1 a73 t4",0.7880821,0.0919812,0.5582146,0.9162833,"     ",""
"r g18 c1 a25 t8",0.2440034,0.0719523,0.1306336,0.4094253,"     ",""
"r g66 c1 a73 t8",0.1091129,0.0667577,0.0308921,0.3199953,"     ",""
"R g12 c1 a12 t1",0.0124713,0.0025893,0.0082943,0.018712,"     ",""
"R g12 c1 a16 t5",0.0216041,0.0040984,0.0148754,0.0312798,"     ",""
"R g12 c1 a20 t9",0.0106093,0.0024449,0.0067471,0.0166453,"     ",""
"R g14 c1 a25 t12",0.0184878,0.0027493,0.0138034,0.0247221,"     ",""
"R g18 c1 a25 t8",0.0373394,0.0028238,0.0321823,0.0432858,"     ",""
"R g22 c1 a25 t4",0.0217022,0.0025762,0.0171877,0.0273695,"     ",""
"R g62 c1 a73 t12",0.0234466,0.0091311,0.0108687,0.0498468,"     ",""
"R g66 c1 a73 t8",0.0471118,0.0169516,0.0230429,0.0939047,"     ",""
"R g70 c1 a73 t4",0.027499,0.0102056,0.0132072,0.0563728,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
