"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a13 t1",0.8458352,0.0418126,0.7453229,0.9113947,"     ",""
"S g12 c1 a17 t5",0.9644223,0.0117288,0.9327567,0.9814724,"     ",""
"S g12 c1 a21 t9",0.6603139,0.0816989,0.4876981,0.7987668,"     ",""
"S g13 c1 a25 t12",0.7984385,0.0289878,0.7356587,0.8493615,"     ",""
"S g17 c1 a25 t8",0.9822189,0.0020348,0.9777591,0.9857975,"     ",""
"S g21 c1 a25 t4",0.9179017,0.0156939,0.8814243,0.9438721,"     ",""
"S g61 c1 a73 t12",0.7253179,0.1484788,0.3799626,0.9192127,"     ",""
"S g65 c1 a73 t8",0.9735608,0.0195545,0.8925563,0.9939106,"     ",""
"S g69 c1 a73 t4",0.8816976,0.0796322,0.6253364,0.9708282,"     ",""
"r g17 c1 a25 t8",1,3.050024e-05,3.160569e-301,1,"     ",""
"r g65 c1 a73 t8",0.1690428,0.1978864,0.0126969,0.762922,"     ",""
"R g12 c1 a13 t1",0.0258934,0.0059765,0.0164321,0.0405776,"     ",""
"R g12 c1 a17 t5",0.0431023,0.0092085,0.0282578,0.0652215,"     ",""
"R g12 c1 a21 t9",0.0199726,0.0051483,0.0120242,0.0329997,"     ",""
"R g13 c1 a25 t12",0.0321628,0.0043427,0.0246578,0.0418539,"     ",""
"R g17 c1 a25 t8",0.0684239,0.0041416,0.0607391,0.0770014,"     ",""
"R g21 c1 a25 t4",0.0415441,0.0047905,0.033106,0.0520172,"     ",""
"R g61 c1 a73 t12",0.0212583,0.0079082,0.0102064,0.0437488,"     ",""
"R g65 c1 a73 t8",0.0458074,0.0156382,0.0232559,0.0882515,"     ",""
"R g69 c1 a73 t4",0.0275496,0.009988,0.013459,0.055561,"     ",""
"p g12 c1 a14 t2",0,0,0,0,"Fixed",""
"r g12 c1 a13 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a13 t1",1,0,1,1,"Fixed",""
