"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.7859461,0.053894,0.6621241,0.8730885,"     ",""
"S g12 c1 a16 t5",0.8943059,0.0416616,0.7810191,0.9525462,"     ",""
"S g12 c1 a20 t9",0.4447928,0.1067416,0.2556094,0.651457,"     ",""
"S g13 c1 a25 t12",0.7747442,0.0411623,0.6841692,0.8452202,"     ",""
"S g17 c1 a25 t8",0.9732089,0.01113,0.9402432,0.9882165,"     ",""
"S g21 c1 a25 t4",0.9403462,0.0170719,0.8967097,0.9662418,"     ",""
"S g61 c1 a73 t12",0.5175395,0.2004291,0.1819616,0.8380089,"     ",""
"S g65 c1 a73 t8",0.9188943,0.0620467,0.6890438,0.9830298,"     ",""
"S g69 c1 a73 t4",0.8309788,0.119139,0.4825107,0.9628576,"     ",""
"r g17 c1 a25 t8",0.6303903,0.2640905,0.1560841,0.9402199,"     ",""
"r g65 c1 a73 t8",0.2916171,0.2254991,0.0462174,0.7776448,"     ",""
"R g12 c1 a12 t1",0.0394008,0.0104352,0.0233355,0.0657811,"     ",""
"R g12 c1 a16 t5",0.052643,0.0135625,0.0315795,0.086501,"     ",""
"R g12 c1 a20 t9",0.0235165,0.007718,0.0123094,0.0444678,"     ",""
"R g13 c1 a25 t12",0.030187,0.0057859,0.0206928,0.0438421,"     ",""
"R g17 c1 a25 t8",0.0670084,0.0053455,0.0572613,0.0782769,"     ",""
"R g21 c1 a25 t4",0.0503446,0.0064224,0.039147,0.06453,"     ",""
"R g61 c1 a73 t12",0.0177303,0.0096543,0.0060532,0.0507821,"     ",""
"R g65 c1 a73 t8",0.0399837,0.0201602,0.0146596,0.1044185,"     ",""
"R g69 c1 a73 t4",0.0298256,0.0155038,0.0106418,0.0807688,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
