"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a13 t1",0.790935,0.0688278,0.6259181,0.8953316,"     ",""
"S g12 c1 a17 t5",0.9314556,0.0327741,0.8324567,0.9737987,"     ",""
"S g12 c1 a21 t9",0.6454501,0.1215852,0.3912046,0.837596,"     ",""
"S g13 c1 a25 t12",0.7793984,0.0561466,0.6507001,0.8701415,"     ",""
"S g17 c1 a25 t8",0.9634673,0.0175028,0.9086855,0.9858944,"     ",""
"S g21 c1 a25 t4",0.8801273,0.0323876,0.8009036,0.9305598,"     ",""
"S g61 c1 a73 t12",0.9439214,0.0487841,0.7343761,0.990336,"     ",""
"S g65 c1 a73 t8",0.9921039,0.0057388,0.9676299,0.99811,"     ",""
"S g69 c1 a73 t4",0.9722064,0.0250405,0.8504874,0.9953725,"     ",""
"r g17 c1 a25 t8",0.2749487,0.1318043,0.0940175,0.5808401,"     ",""
"r g65 c1 a73 t8",0.9999982,0,0.9999982,0.9999982,"     ",""
"R g12 c1 a13 t1",0.020912,0.0059804,0.0119054,0.0364806,"     ",""
"R g12 c1 a17 t5",0.0424974,0.0109153,0.0255646,0.0698416,"     ",""
"R g12 c1 a21 t9",0.0209265,0.0072675,0.0105521,0.0410771,"     ",""
"R g13 c1 a25 t12",0.0201158,0.0046439,0.0127713,0.031549,"     ",""
"R g17 c1 a25 t8",0.0408859,0.0042614,0.0333038,0.0501049,"     ",""
"R g21 c1 a25 t4",0.0201018,0.0034963,0.0142797,0.0282298,"     ",""
"R g61 c1 a73 t12",0.0083455,0.0034917,0.0036673,0.018878,"     ",""
"R g65 c1 a73 t8",0.0171754,0.0066644,0.0079962,0.0365042,"     ",""
"R g69 c1 a73 t4",0.0083396,0.0035515,0.0036113,0.0191398,"     ",""
"p g12 c1 a14 t2",0,0,0,0,"Fixed",""
"r g12 c1 a13 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a13 t1",1,0,1,1,"Fixed",""
