"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1628,0,0,0,0,0.0013,0.0019,6891,4982,214,127,378,87,16,1618,6891,21,4982
2,3652500.94805062,2497710.23603919,322956,0.129253367294227,0.0645180510234625,61247,1531,NA,0,NA,0,0.0029,0.0042,14962,10476,526,271,1011,255,42,1846,8071,64,10476
3,3456020.20182399,2394608.87557448,106238,0.0443194499071432,0.0221224761126094,44701,1118,NA,0,NA,0,0.0035,0.0051,17617,12156,200,110,421,90,20,596,2655,9,12156
4,3469438.7876757,2393466.53208899,150014,0.0626314263710158,0.0312630738128393,86829,2171,NA,0,NA,0,0.0042,0.006,21366,14419,368,186,668,182,22,877,3749,32,14419
5,3508655.92533087,2386563.18143091,209126,0.0875700411128721,0.0437114212102957,119947,2999,NA,0,NA,0,0.005,0.0074,26592,17552,649,335,1219,314,44,1207,5226,70,17552
6,3552459.54393426,2366703.89025552,262610,0.110908941206503,0.0553612557840029,138537,3463,NA,0,NA,0,0.006,0.009,33154,21279,1003,534,1792,469,60,1497,6562,121,21279
7,3434330.11226776,2297367.0372843,397759,0.173083137986633,0.0863960990857792,226157,5654,NA,0,NA,0,0.0077,0.0116,43096,26588,1930,1225,2542,705,121,2272,9942,242,26588
8,3193910.67078366,2162902.85161231,155997,0.0720709170542172,0.035974885615374,99605,2490,NA,0,NA,0,0.0089,0.0131,46993,28301,870,460,1637,410,66,897,3897,78,28301
9,3065559.69346828,2112202.35193994,81190,0.0383839669878841,0.019159723204502,66288,1657,NA,0,NA,0,0.0095,0.0137,49020,28972,453,250,885,203,50,490,2027,23,28972
10,2975400.85166234,2086324.70954631,39956,0.019084869960835,0.00952639486061806,38846,971,NA,0,NA,0,0.0098,0.014,50016,29132,231,132,468,99,9,199,996,15,29132
11,2907365.38839276,2073233.74889507,41836,0.0201171945934056,0.0100416895466385,43409,1085,NA,0,NA,0,0.0101,0.0141,51059,29280,242,125,480,117,23,254,1043,12,29280
12,2840457.00897943,2056599.29947168,131842,0.0640543179895995,0.0319733237349142,63366,1584,NA,0,NA,0,0.0108,0.0149,54353,30546,865,468,1525,397,59,737,3294,75,30546
