"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3632507.6602346,2492952.95082409,322341,0.129253367294227,0.0645180510234625,61247,0.95,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3460966.09550662,2395173.42310193,106263,0.0443194499071432,0.0221224761126094,44701,0.95,NA,0,NA,0,2e-04,3e-04,1000,732,19,8,25,11,42,233,1000,2,732
4,3389830.83036909,2374085.00062798,148800,0.0626314263710158,0.0312630738128393,86829,0.95,NA,0,NA,0,4e-04,6e-04,2000,1441,30,18,66,12,94,241,1000,4,1441
5,3531756.38602413,2389178.39414043,209355,0.0875700411128721,0.0437114212102957,119947,0.95,NA,0,NA,0,4e-04,6e-04,2000,1366,50,26,81,24,126,0,0,3,1366
6,3431370.16183806,2335833.93220067,259188,0.110908941206503,0.0553612557840029,138537,0.95,NA,0,NA,0,4e-04,6e-04,2000,1289,61,36,110,25,161,0,0,4,1289
7,3266213.27463126,2251682.3000521,389852,0.173083137986633,0.0863960990857792,226157,0.95,NA,0,NA,0,4e-04,5e-04,2000,1193,75,48,135,27,200,0,0,8,1193
8,3033705.21046007,2114288.91671377,152493,0.0720709170542172,0.035974885615374,99605,0.95,NA,0,NA,0,4e-04,5e-04,2000,1136,38,22,56,16,93,0,0,3,1136
9,2912215.95612288,2060670.29617303,79211,0.0383839669878841,0.019159723204502,66288,0.95,NA,0,NA,0,4e-04,5e-04,2000,1104,21,13,32,8,49,0,0,1,1104
10,2826649.28142854,2031602.55492618,38911,0.019084869960835,0.00952639486061806,38846,0.95,NA,0,NA,0,4e-04,5e-04,2000,1082,7,2,15,5,22,0,0,1,1082
11,2762734.79675612,2015399.235668,40672,0.0201171945934056,0.0100416895466385,43409,0.95,NA,0,NA,0,4e-04,5e-04,2000,1056,13,7,17,6,30,0,0,0,1056
12,2699779.6879881,1995849.70018552,127951,0.0640543179895995,0.0319733237349142,63366,0.95,NA,0,NA,0,4e-04,5e-04,2000,1016,25,14,57,11,79,0,0,2,1016
