"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.6687775,0.1137672,0.4245866,0.8467448,"     ",""
"S g12 c1 a18 t5",0.8855513,0.0719257,0.6581632,0.9688425,"     ",""
"S g12 c1 a22 t9",0.670327,0.1135562,0.4261707,0.8477188,"     ",""
"S g12 c1 a25 t12",0.8524061,0.0428344,0.7476803,0.9184086,"     ",""
"S g15 c1 a25 t8",0.9564791,0.0316388,0.8320612,0.9898465,"     ",""
"S g19 c1 a25 t4",0.8515229,0.0429886,0.7465255,0.9178151,"     ",""
"S g57 c1 a73 t12",0.6424126,0.2929622,0.1285597,0.9562888,"     ",""
"S g61 c1 a73 t8",0.8723914,0.1463525,0.3419908,0.9890019,"     ",""
"S g65 c1 a73 t4",0.6408023,0.29349,0.1278282,0.9559759,"     ",""
"r g15 c1 a25 t8",0.3422252,0.2438452,0.0586049,0.8130206,"     ",""
"r g61 c1 a73 t8",3.24826e-09,0,3.24826e-09,3.24826e-09,"     ",""
"R g12 c1 a14 t1",0.0146789,0.0096087,0.0040351,0.0519346,"     ",""
"R g12 c1 a18 t5",0.0216996,0.0137792,0.006177,0.0733507,"     ",""
"R g12 c1 a22 t9",0.0082783,0.0059773,0.0019995,0.0336087,"     ",""
"R g12 c1 a25 t12",0.0178923,0.0063628,0.0088799,0.0357216,"     ",""
"R g15 c1 a25 t8",0.0461748,0.0079845,0.0328191,0.0646024,"     ",""
"R g19 c1 a25 t4",0.0314902,0.0079036,0.0191897,0.0512632,"     ",""
"R g57 c1 a73 t12",0.0176406,0.0187355,0.0021529,0.1300267,"     ",""
"R g61 c1 a73 t8",0.0455438,0.0443994,0.0064041,0.2610452,"     ",""
"R g65 c1 a73 t4",0.0310534,0.0312987,0.0041549,0.1975451,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
