"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a13 t1",0.8775094,0.0326174,0.7980709,0.9284968,"     ",""
"S g12 c1 a17 t5",0.9477242,0.0188415,0.8958678,0.9744922,"     ",""
"S g12 c1 a21 t9",0.6774494,0.075505,0.5161973,0.8052345,"     ",""
"S g13 c1 a25 t12",0.7454885,0.038027,0.6641556,0.81268,"     ",""
"S g17 c1 a25 t8",0.9619532,0.0127525,0.9273861,0.9804126,"     ",""
"S g21 c1 a25 t4",0.9090155,0.018787,0.8648829,0.9397376,"     ",""
"S g61 c1 a73 t12",0.4535646,0.182046,0.1643878,0.7778843,"     ",""
"S g65 c1 a73 t8",0.8775228,0.0884132,0.5882721,0.9729206,"     ",""
"S g68 c1 a73 t4",0.7389851,0.1421361,0.4004462,0.923084,"     ",""
"r g17 c1 a25 t8",0.5308737,0.1768015,0.219638,0.819813,"     ",""
"r g65 c1 a73 t8",0.0470776,0.0506454,0.0053759,0.3110901,"     ",""
"R g12 c1 a13 t1",0.0376599,0.0069131,0.0262205,0.0538143,"     ",""
"R g12 c1 a17 t5",0.0544371,0.0090785,0.0391498,0.0752264,"     ",""
"R g12 c1 a21 t9",0.0278929,0.0066004,0.0174948,0.0441931,"     ",""
"R g13 c1 a25 t12",0.0329154,0.0056108,0.0235265,0.0458752,"     ",""
"R g17 c1 a25 t8",0.0639249,0.0047132,0.0552858,0.0738085,"     ",""
"R g21 c1 a25 t4",0.0443608,0.0050676,0.0354233,0.0554238,"     ",""
"R g61 c1 a73 t12",0.0216059,0.0126582,0.0067825,0.0666523,"     ",""
"R g65 c1 a73 t8",0.0424282,0.0234271,0.0141085,0.1206375,"     ",""
"R g68 c1 a73 t4",0.0292377,0.0163158,0.009667,0.0850274,"     ",""
"p g12 c1 a14 t2",0,0,0,0,"Fixed",""
"r g12 c1 a13 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a13 t1",1,0,1,1,"Fixed",""
