"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9107433,0.020505,0.8615643,0.9435953,"     ",""
"S g12 c1 a16 t5",0.961916,0.0120734,0.9297707,0.9796695,"     ",""
"S g12 c1 a20 t9",0.7859653,0.0435259,0.688614,0.859108,"     ",""
"S g14 c1 a25 t12",0.7981886,0.0260155,0.7423972,0.8444289,"     ",""
"S g18 c1 a25 t8",0.9645442,0.0099035,0.939105,0.9795871,"     ",""
"S g22 c1 a25 t4",0.9165968,0.0128048,0.8878218,0.938502,"     ",""
"S g62 c1 a73 t12",0.7497779,0.0928373,0.5318427,0.8876854,"     ",""
"S g66 c1 a73 t8",0.9537256,0.0237027,0.8779461,0.9833483,"     ",""
"S g70 c1 a73 t4",0.8927743,0.0478411,0.7576558,0.9568484,"     ",""
"r g18 c1 a25 t8",0.6073972,0.1663529,0.2827412,0.8585955,"     ",""
"r g66 c1 a73 t8",0.1034372,0.0848212,0.0188487,0.4092849,"     ",""
"R g12 c1 a12 t1",0.0341655,0.0043265,0.0266292,0.043739,"     ",""
"R g12 c1 a16 t5",0.0515238,0.0058146,0.0412485,0.0641875,"     ",""
"R g12 c1 a20 t9",0.0215707,0.0034275,0.0157829,0.0294174,"     ",""
"R g14 c1 a25 t12",0.0270515,0.0032023,0.0214351,0.0340883,"     ",""
"R g18 c1 a25 t8",0.0641167,0.0033455,0.0578635,0.0709947,"     ",""
"R g22 c1 a25 t4",0.042707,0.0034643,0.0364096,0.0500369,"     ",""
"R g62 c1 a73 t12",0.0167515,0.0045843,0.009777,0.0285578,"     ",""
"R g66 c1 a73 t8",0.0402883,0.0099108,0.0247718,0.0648775,"     ",""
"R g70 c1 a73 t4",0.0266091,0.006863,0.0160026,0.0439316,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
